id,value
af,afrikaans
af_ZA,"afrikaans (Cənub Afrika)"
af_NA,"afrikaans (Namibiya)"
ak,akanca
ak_GH,"akanca (Qana)"
sq,alban
sq_AL,"alban (Albaniya)"
sq_XK,"alban (Kosovo)"
sq_MK,"alban (Makedoniya)"
de,alman
de_DE,"alman (Almaniya)"
de_AT,"alman (Avstriya)"
de_BE,"alman (Belçika)"
de_CH,"alman (İsveçrə)"
de_LI,"alman (Lixtenşteyn)"
de_LU,"alman (Lüksemburq)"
am,amhar
am_ET,"amhar (Efiopiya)"
as,assam
as_IN,"assam (Hindistan)"
az,azərbaycan
az_AZ,"azərbaycan (Azərbaycan)"
az_Cyrl_AZ,"azərbaycan (kiril, Azərbaycan)"
az_Cyrl,"azərbaycan (kiril)"
az_Latn_AZ,"azərbaycan (latın, Azərbaycan)"
az_Latn,"azərbaycan (latın)"
bm,bambara
bm_Latn_ML,"bambara (latın, Mali)"
bm_Latn,"bambara (latın)"
eu,bask
eu_ES,"bask (İspaniya)"
be,belarus
be_BY,"belarus (Belarus)"
bn,benqal
bn_BD,"benqal (Banqladeş)"
bn_IN,"benqal (Hindistan)"
my,birma
my_MM,"birma (Myanma)"
nb,"bokmal norveç"
nb_NO,"bokmal norveç (Norveç)"
nb_SJ,"bokmal norveç (Svalbard və Yan Mayen)"
bg,bolqar
bg_BG,"bolqar (Bolqariya)"
bs,bosniak
bs_BA,"bosniak (Bosniya və Hersoqovina)"
bs_Cyrl_BA,"bosniak (kiril, Bosniya və Hersoqovina)"
bs_Cyrl,"bosniak (kiril)"
bs_Latn_BA,"bosniak (latın, Bosniya və Hersoqovina)"
bs_Latn,"bosniak (latın)"
br,Bretonca
br_FR,"Bretonca (Fransa)"
cs,çex
cs_CZ,"çex (Çexiya)"
zh,çin
zh_CN,"çin (Çin)"
zh_Hant_HK,"çin (ənənəvi han, Honq Konq Xüsusi İnzibati Ərazi Çin)"
zh_Hant_MO,"çin (ənənəvi han, Makao Xüsusi İnzibati Ərazi Çin)"
zh_Hant_TW,"çin (ənənəvi han, Tayvan)"
zh_Hant,"çin (ənənəvi han)"
zh_HK,"çin (Honq Konq Xüsusi İnzibati Ərazi Çin)"
zh_MO,"çin (Makao Xüsusi İnzibati Ərazi Çin)"
zh_Hans_CN,"çin (sadələşmiş han, Çin)"
zh_Hans_HK,"çin (sadələşmiş han, Honq Konq Xüsusi İnzibati Ərazi Çin)"
zh_Hans_MO,"çin (sadələşmiş han, Makao Xüsusi İnzibati Ərazi Çin)"
zh_Hans_SG,"çin (sadələşmiş han, Sinqapur)"
zh_Hans,"çin (sadələşmiş han)"
zh_SG,"çin (Sinqapur)"
zh_TW,"çin (Tayvan)"
da,danimarka
da_DK,"danimarka (Danimarka)"
da_GL,"danimarka (Qrenlandiya)"
dz,dzonqa
dz_BT,"dzonqa (Butan)"
hy,erməni
hy_AM,"erməni (Ermənistan)"
eo,esperanto
et,eston
et_EE,"eston (Estoniya)"
ee,eve
ee_GH,"eve (Qana)"
ee_TG,"eve (Toqo)"
ar,ərəb
ar_BH,"ərəb (Bəhreyn)"
ar_AE,"ərəb (Birləşmiş Ərəb Əmirlikləri)"
ar_SS,"ərəb (Cənubi Sudan)"
ar_DJ,"ərəb (Cibuti)"
ar_TD,"ərəb (Çad)"
ar_ER,"ərəb (Eritreya)"
ar_DZ,"ərəb (Əlcəzair)"
ar_PS,"ərəb (Fələstin Əraziləri)"
ar_JO,"ərəb (İordaniya)"
ar_IQ,"ərəb (İraq)"
ar_IL,"ərəb (İsrail)"
ar_KM,"ərəb (Komor Adaları)"
ar_KW,"ərəb (Küveyt)"
ar_QA,"ərəb (Qatar)"
ar_EH,"ərəb (Qərbi Sahara)"
