id,value
af,afrikaans
af_ZA,"afrikaans (Cənub Afrika)"
af_NA,"afrikaans (Namibiya)"
ak,akanca
ak_GH,"akanca (Qana)"
sq,alban
sq_AL,"alban (Albaniya)"
sq_XK,"alban (Kosovo)"
sq_MK,"alban (Makedoniya)"
am,amhar
am_ET,"amhar (Efiopiya)"
as,assam
as_IN,"assam (Һиндистан)"
bm,bambara
bm_Latn_ML,"bambara (latın, Mali)"
bm_Latn,"bambara (latın)"
eu,bask
eu_ES,"bask (İspaniya)"
be,belarus
be_BY,"belarus (Belarus)"
bn,benqal
bn_BD,"benqal (Banqladeş)"
bn_IN,"benqal (Һиндистан)"
my,birma
my_MM,"birma (Myanma)"
nb,"bokmal norveç"
nb_NO,"bokmal norveç (Norveç)"
nb_SJ,"bokmal norveç (Svalbard və Yan Mayen)"
bg,bolqar
bg_BG,"bolqar (Bolqariya)"
bs,bosniak
bs_BA,"bosniak (Bosniya və Hersoqovina)"
bs_Cyrl_BA,"bosniak (kiril, Bosniya və Hersoqovina)"
bs_Cyrl,"bosniak (kiril)"
bs_Latn_BA,"bosniak (latın, Bosniya və Hersoqovina)"
bs_Latn,"bosniak (latın)"
br,Bretonca
br_FR,"Bretonca (Франса)"
cs,çex
cs_CZ,"çex (Çexiya)"
da,danimarka
da_DK,"danimarka (Danimarka)"
da_GL,"danimarka (Qrenlandiya)"
dz,dzonqa
dz_BT,"dzonqa (Butan)"
hy,erməni
hy_AM,"erməni (Ermənistan)"
eo,esperanto
et,eston
et_EE,"eston (Estoniya)"
ee,eve
ee_GH,"eve (Qana)"
ee_TG,"eve (Toqo)"
ar,ərəb
ar_BH,"ərəb (Bəhreyn)"
ar_AE,"ərəb (Birləşmiş Ərəb Əmirlikləri)"
ar_SS,"ərəb (Cənubi Sudan)"
ar_DJ,"ərəb (Cibuti)"
ar_TD,"ərəb (Çad)"
ar_ER,"ərəb (Eritreya)"
ar_DZ,"ərəb (Əlcəzair)"
ar_PS,"ərəb (Fələstin Əraziləri)"
ar_JO,"ərəb (İordaniya)"
ar_IQ,"ərəb (İraq)"
ar_IL,"ərəb (İsrail)"
ar_KM,"ərəb (Komor Adaları)"
ar_KW,"ərəb (Küveyt)"
ar_QA,"ərəb (Qatar)"
ar_EH,"ərəb (Qərbi Sahara)"
ar_LB,"ərəb (Livan)"
ar_LY,"ərəb (Liviya)"
ar_MR,"ərəb (Mavritaniya)"
ar_MA,"ərəb (Mərakeş)"
ar_EG,"ərəb (Misir)"
ar_OM,"ərəb (Oman)"
ar_SA,"ərəb (Səudiyyə Ərəbistanı)"
ar_SO,"ərəb (Somali)"
ar_SD,"ərəb (Sudan)"
ar_SY,"ərəb (Suriya)"
ar_TN,"ərəb (Tunis)"
ar_YE,"ərəb (Yəmən)"
fo,farer
fo_FO,"farer (Farer Adaları)"
fa,fars
fa_AF,"fars (Əfqanıstan)"
fa_IR,"fars (İran)"
fi,fin
fi_FI,"fin (Finlandiya)"
ff,"fula dili"
ff_CM,"fula dili (Kamerun)"
ff_GN,"fula dili (Qvineya)"
ff_MR,"fula dili (Mavritaniya)"
ff_SN,"fula dili (Seneqal)"
ka,gürcü
ka_GE,"gürcü (Gürcüstan)"
ha,hausa
ha_GH,"hausa (Qana)"
ha_Latn_GH,"hausa (latın, Qana)"
ha_Latn_NE,"hausa (latın, Niger)"
ha_Latn_NG,"hausa (latın, Nigeriya)"
ha_Latn,"hausa (latın)"
ha_NE,"hausa (Niger)"
ha_NG,"hausa (Nigeriya)"
hi,hindi
hi_IN,"hindi (Һиндистан)"
nl,holland
nl_AW,"holland (Aruba)"
nl_BE,"holland (Belçika)"
nl_BQ,"holland (Karib Niderlandı)"
nl_CW,"holland (Kurasao)"
