id,value
as,آسامی
as_IN,"آسامی (هند)"
os,آسی
os_RU,"آسی (روسیه)"
os_GE,"آسی (گرجستان)"
af,آفریکانس
af_ZA,"آفریکانس (افریقای جنوبی)"
af_NA,"آفریکانس (نامیبیا)"
ak,آکان
ak_GH,"آکان (غنا)"
sq,آلبانیایی
sq_AL,"آلبانیایی (البانیا)"
sq_XK,"آلبانیایی (کوزوو)"
sq_MK,"آلبانیایی (مقدونیه)"
de,آلمانی
de_DE,"آلمانی (آلمان)"
de_AT,"آلمانی (اتریش)"
de_BE,"آلمانی (بلجیم)"
de_CH,"آلمانی (سویس)"
de_LU,"آلمانی (لوکزامبورگ)"
de_LI,"آلمانی (لیختن‌اشتاین)"
ga,آیرلندی
ga_IE,"آیرلندی (آیرلند)"
is,آیسلندی
is_IS,"آیسلندی (آیسلند)"
ur,اردو
ur_PK,"اردو (پاکستان)"
ur_IN,"اردو (هند)"
hy,ارمنی
hy_AM,"ارمنی (ارمنستان)"
uz,ازبکی
uz_UZ,"ازبکی (ازبکستان)"
uz_AF,"ازبکی (افغانستان)"
uz_Cyrl_UZ,"ازبکی (سیریلی, ازبکستان)"
uz_Cyrl,"ازبکی (سیریلی)"
uz_Arab_AF,"ازبکی (عربی, افغانستان)"
uz_Arab,"ازبکی (عربی)"
uz_Latn_UZ,"ازبکی (لاتینی, ازبکستان)"
uz_Latn,"ازبکی (لاتینی)"
eo,اسپرانتو
et,استونیایی
et_EE,"استونیایی (استونیا)"
sk,اسلواکی
sk_SK,"اسلواکی (سلواکیا)"
sl,اسلووینیایی
sl_SI,"اسلووینیایی (سلونیا)"
am,امهری
am_ET,"امهری (ایتوپیا)"
nd,"انده‌بله‌ای شمالی"
nd_ZW,"انده‌بله‌ای شمالی (زیمبابوی)"
id,اندونیزیایی
id_ID,"اندونیزیایی (اندونیزیا)"
en,انگلیسی
en_AU,"انگلیسی (آسترالیا)"
en_AI,"انگلیسی (آنگویلا)"
en_IE,"انگلیسی (آیرلند)"
en_ER,"انگلیسی (اریتریا)"
en_ZA,"انگلیسی (افریقای جنوبی)"
en_AG,"انگلیسی (انتیگوا و باربودا)"
en_UG,"انگلیسی (اوگاندا)"
en_US,"انگلیسی (ایالات متحدهٔ امریکا)"
en_BB,"انگلیسی (باربادوس)"
en_BM,"انگلیسی (برمودا)"
en_GB,"انگلیسی (بریتانیا)"
en_BE,"انگلیسی (بلجیم)"
en_BZ,"انگلیسی (بلیز)"
en_BS,"انگلیسی (بهاماس)"
en_BW,"انگلیسی (بوتسوانا)"
en_PG,"انگلیسی (پاپوا نیو گینیا)"
en_PK,"انگلیسی (پاکستان)"
en_PW,"انگلیسی (پالائو)"
en_PR,"انگلیسی (پورتوریکو)"
en_TZ,"انگلیسی (تانزانیا)"
en_TT,"انگلیسی (ترینیداد و توباگو)"
en_TK,"انگلیسی (توکلائو)"
en_TO,"انگلیسی (تونگا)"
en_TV,"انگلیسی (تووالو)"
en_JM,"انگلیسی (جامائیکا)"
en_GI,"انگلیسی (جبل‌الطارق)"
en_JE,"انگلیسی (جرزی)"
en_PN,"انگلیسی (جزایر پیت‌کرن)"
en_TC,"انگلیسی (جزایر تورکس و کایکوس)"
en_UM,"انگلیسی (جزایر دورافتادهٔ ایالات متحده)"
en_SB,"انگلیسی (جزایر سلومون)"
en_FK,"انگلیسی (جزایر فالکلند)"
en_CK,"انگلیسی (جزایر کوک)"
en_CC,"انگلیسی (جزایر کوکوس (کیلینگ))"
en_KY,"انگلیسی (جزایر کِیمن)"
en_MH,"انگلیسی (جزایر مارشال)"
en_MP,"انگلیسی (جزایر ماریانای شمالی)"
en_VI,"انگلیسی (جزایر ویرجین ایالات متحده)"
en_VG,"انگلیسی (جزایر ویرجین بریتانیا)"
en_CX,"انگلیسی (جزیرهٔ کریسمس)"
en_IM,"انگلیسی (جزیرهٔ من)"
en_NF,"انگلیسی (جزیره نورفک)"
en_DM,"انگلیسی (دومینیکا)"
en_DG,"انگلیسی (دیه‌گو گارسیا)"
en_RW,"انگلیسی (روآندا)"
en_ZM,"انگلیسی (زامبیا)"
en_NZ,"انگلیسی (زیلاند جدید)"
en_ZW,"انگلیسی (زیمبابوی)"
en_WS,"انگلیسی (ساموآ)"
en_AS,"انگلیسی (ساموآی آمریکا)"
en_KN,"انگلیسی (سنت کیتس و نیویس)"
en_LC,"انگلیسی (سنت لوسیا)"
en_SX,"انگلیسی (سنت مارتن)"
en_SH,"انگلیسی (سنت هلن)"
en_VC,"انگلیسی (سنت وینسنت و گرینادین)"
en_SZ,"انگلیسی (سوازیلند)"
en_SS,"انگلیسی (سودان جنوبی)"
en_SD,"انگلیسی (سودان)"
en_SL,"انگلیسی (سیرالیون)"
en_SC,"انگلیسی (سیشل)"
en_SG,"انگلیسی (سینگاپور)"
en_GH,"انگلیسی (غنا)"
en_FJ,"انگلیسی (فیجی)"
en_PH,"انگلیسی (فیلیپین)"
en_IO,"انگلیسی (قلمرو بریتانیا در اقیانوس هند)"
en_CM,"انگلیسی (کامرون)"
en_CA,"انگلیسی (کانادا)"
en_KI,"انگلیسی (کیریباتی)"
en_KE,"انگلیسی (کینیا)"
en_GM,"انگلیسی (گامبیا)"
en_GG,"انگلیسی (گرنزی)"
en_GD,"انگلیسی (گرینادا)"
en_GU,"انگلیسی (گوام)"
en_GY,"انگلیسی (گیانا)"
en_LR,"انگلیسی (لیبریا)"
en_LS,"انگلیسی (لیسوتو)"
en_MG,"انگلیسی (مادغاسکر)"
en_MO,"انگلیسی (ماکائو، ناحیهٔ ویژهٔ حکومتی چین)"
en_MW,"انگلیسی (مالاوی)"
en_MT,"انگلیسی (مالتا)"
en_MY,"انگلیسی (مالیزیا)"
en_MU,"انگلیسی (موریس)"
en_MS,"انگلیسی (مونت‌سرات)"
en_FM,"انگلیسی (میکرونزیا)"
en_NA,"انگلیسی (نامیبیا)"
en_NR,"انگلیسی (نائورو)"
en_NG,"انگلیسی (نیجریا)"
en_NU,"انگلیسی (نیوئه)"
en_IN,"انگلیسی (هند)"
en_HK,"انگلیسی (هنگ‌کنگ، ناحیهٔ ویژهٔ حکومتی چین)"
en_VU,"انگلیسی (وانواتو)"
om,اورومویی
