id,value
as,آسامی
as_IN,"آسامی (هند)"
os,آسی
os_RU,"آسی (روسیه)"
os_GE,"آسی (گرجستان)"
af,آفریکانس
af_ZA,"آفریکانس (افریقای جنوبی)"
af_NA,"آفریکانس (نامیبیا)"
ak,آکان
ak_GH,"آکان (غنا)"
sq,آلبانیایی
sq_AL,"آلبانیایی (آلبانی)"
sq_XK,"آلبانیایی (کوزوو)"
sq_MK,"آلبانیایی (مقدونیه)"
de,آلمانی
de_DE,"آلمانی (آلمان)"
de_AT,"آلمانی (اتریش)"
de_BE,"آلمانی (بلژیک)"
de_CH,"آلمانی (سوئیس)"
de_LU,"آلمانی (لوکزامبورگ)"
de_LI,"آلمانی (لیختن‌اشتاین)"
ur,اردو
ur_PK,"اردو (پاکستان)"
ur_IN,"اردو (هند)"
hy,ارمنی
hy_AM,"ارمنی (ارمنستان)"
uz,ازبکی
uz_UZ,"ازبکی (ازبکستان)"
uz_AF,"ازبکی (افغانستان)"
uz_Cyrl_UZ,"ازبکی (سیریلی, ازبکستان)"
uz_Cyrl,"ازبکی (سیریلی)"
uz_Arab_AF,"ازبکی (عربی, افغانستان)"
uz_Arab,"ازبکی (عربی)"
uz_Latn_UZ,"ازبکی (لاتینی, ازبکستان)"
uz_Latn,"ازبکی (لاتینی)"
es,اسپانیایی
es_AR,"اسپانیایی (آرژانتین)"
es_UY,"اسپانیایی (اروگوئه)"
es_ES,"اسپانیایی (اسپانیا)"
es_EC,"اسپانیایی (اکوادور)"
es_SV,"اسپانیایی (السالوادور)"
es_US,"اسپانیایی (ایالات متحدهٔ امریکا)"
es_BO,"اسپانیایی (بولیوی)"
es_PY,"اسپانیایی (پاراگوئه)"
es_PA,"اسپانیایی (پاناما)"
es_PE,"اسپانیایی (پرو)"
es_PR,"اسپانیایی (پورتوریکو)"
es_IC,"اسپانیایی (جزایر قناری)"
es_DO,"اسپانیایی (جمهوری دومینیکن)"
es_EA,"اسپانیایی (سبته و ملیله)"
es_CL,"اسپانیایی (شیلی)"
es_PH,"اسپانیایی (فیلیپین)"
es_CR,"اسپانیایی (کاستاریکا)"
es_CO,"اسپانیایی (کلمبیا)"
es_CU,"اسپانیایی (کوبا)"
es_GT,"اسپانیایی (گواتمالا)"
es_GQ,"اسپانیایی (گینهٔ استوایی)"
es_MX,"اسپانیایی (مکزیک)"
es_NI,"اسپانیایی (نیکاراگوئه)"
es_VE,"اسپانیایی (ونزوئلا)"
es_HN,"اسپانیایی (هندوراس)"
eo,اسپرانتو
et,استونیایی
et_EE,"استونیایی (استونی)"
sk,اسلواکی
sk_SK,"اسلواکی (اسلواکی)"
sl,اسلووینیایی
sl_SI,"اسلووینیایی (اسلوونی)"
am,امهری
am_ET,"امهری (اتیوپی)"
id,اندونزیایی
id_ID,"اندونزیایی (اندونزی)"
nd,"انده‌بله‌ای شمالی"
nd_ZW,"انده‌بله‌ای شمالی (زیمبابوه)"
en,انگلیسی
en_AG,"انگلیسی (آنتیگوا و باربودا)"
en_AI,"انگلیسی (آنگویلا)"
en_ER,"انگلیسی (اریتره)"
en_AU,"انگلیسی (استرالیا)"
en_ZA,"انگلیسی (افریقای جنوبی)"
en_UG,"انگلیسی (اوگاندا)"
en_US,"انگلیسی (ایالات متحدهٔ امریکا)"
en_IE,"انگلیسی (ایرلند)"
en_BB,"انگلیسی (باربادوس)"
en_BS,"انگلیسی (باهاما)"
en_BM,"انگلیسی (برمودا)"
en_GB,"انگلیسی (بریتانیا)"
en_BE,"انگلیسی (بلژیک)"
en_BZ,"انگلیسی (بلیز)"
en_BW,"انگلیسی (بوتسوانا)"
en_PG,"انگلیسی (پاپوا گینهٔ نو)"
en_PK,"انگلیسی (پاکستان)"
en_PW,"انگلیسی (پالائو)"
en_PR,"انگلیسی (پورتوریکو)"
en_TZ,"انگلیسی (تانزانیا)"
en_TT,"انگلیسی (ترینیداد و توباگو)"
en_TK,"انگلیسی (توکلائو)"
en_TO,"انگلیسی (تونگا)"
en_TV,"انگلیسی (تووالو)"
en_JM,"انگلیسی (جامائیکا)"
en_GI,"انگلیسی (جبل‌الطارق)"
en_JE,"انگلیسی (جرزی)"
en_PN,"انگلیسی (جزایر پیت‌کرن)"
en_TC,"انگلیسی (جزایر تورکس و کایکوس)"
en_UM,"انگلیسی (جزایر دورافتادهٔ ایالات متحده)"
en_SB,"انگلیسی (جزایر سلیمان)"
en_FK,"انگلیسی (جزایر فالکلند)"
en_CK,"انگلیسی (جزایر کوک)"
en_CC,"انگلیسی (جزایر کوکوس (کیلینگ))"
en_KY,"انگلیسی (جزایر کِیمن)"
en_MH,"انگلیسی (جزایر مارشال)"
en_MP,"انگلیسی (جزایر ماریانای شمالی)"
en_VI,"انگلیسی (جزایر ویرجین ایالات متحده)"
en_VG,"انگلیسی (جزایر ویرجین بریتانیا)"
en_CX,"انگلیسی (جزیرهٔ کریسمس)"
en_IM,"انگلیسی (جزیرهٔ من)"
en_NF,"انگلیسی (جزیره نورفک)"
en_DM,"انگلیسی (دومینیکا)"
en_DG,"انگلیسی (دیه‌گو گارسیا)"
en_RW,"انگلیسی (رواندا)"
en_ZM,"انگلیسی (زامبیا)"
en_NZ,"انگلیسی (زلاند نو)"
en_ZW,"انگلیسی (زیمبابوه)"
en_WS,"انگلیسی (ساموآ)"
en_AS,"انگلیسی (ساموآی آمریکا)"
en_KN,"انگلیسی (سنت کیتس و نویس)"
en_LC,"انگلیسی (سنت لوسیا)"
en_SX,"انگلیسی (سنت مارتن)"
en_VC,"انگلیسی (سنت وینسنت و گرنادین‌ها)"
en_SH,"انگلیسی (سنت هلن)"
en_SG,"انگلیسی (سنگاپور)"
en_SZ,"انگلیسی (سوازیلند)"
en_SS,"انگلیسی (سودان جنوبی)"
en_SD,"انگلیسی (سودان)"
en_SL,"انگلیسی (سیرالئون)"
en_SC,"انگلیسی (سیشل)"
en_GH,"انگلیسی (غنا)"
en_FJ,"انگلیسی (فیجی)"
en_PH,"انگلیسی (فیلیپین)"
en_IO,"انگلیسی (قلمرو بریتانیا در اقیانوس هند)"
en_CM,"انگلیسی (کامرون)"
en_CA,"انگلیسی (کانادا)"
en_KE,"انگلیسی (کنیا)"
