id,value
en,અંગ્રેજી
en_AS,"અંગ્રેજી (અમેરીકન સમોઆ)"
en_IM,"અંગ્રેજી (આઈલ ઓફ મૅન)"
en_IE,"અંગ્રેજી (આયર્લેંડ)"
en_MP,"અંગ્રેજી (ઉત્તરીય મારિયાના આઇલેન્ડ્સ)"
en_AI,"અંગ્રેજી (ઍંગ્વિલા)"
en_AG,"અંગ્રેજી (એન્ટીગુઆ અને બરબુડા)"
en_ER,"અંગ્રેજી (એરિટ્રિયા)"
en_AU,"અંગ્રેજી (ઑસ્ટ્રેલિયા)"
en_KI,"અંગ્રેજી (કિરિબાટી)"
en_CK,"અંગ્રેજી (કુક આઇલેન્ડ્સ)"
en_CM,"અંગ્રેજી (કૅમરૂન)"
en_CA,"અંગ્રેજી (કેનેડા)"
en_KE,"અંગ્રેજી (કેન્યા)"
en_KY,"અંગ્રેજી (કેયમેન આઇલેન્ડ્સ)"
en_CC,"અંગ્રેજી (કોકોઝ (કીલીંગ) આઇલેન્ડ્સ)"
en_CX,"અંગ્રેજી (ક્રિસમસ આઇલેન્ડ)"
en_GY,"અંગ્રેજી (ગયાના)"
en_GM,"અંગ્રેજી (ગેમ્બિયા)"
en_GD,"અંગ્રેજી (ગ્રેનેડા)"
en_GU,"અંગ્રેજી (ગ્વામ)"
en_GG,"અંગ્રેજી (ગ્વેર્નસે)"
en_GH,"અંગ્રેજી (ઘાના)"
en_JM,"અંગ્રેજી (જમૈકા)"
en_JE,"અંગ્રેજી (જર્સી)"
en_GI,"અંગ્રેજી (જીબ્રાલ્ટર)"
en_ZM,"અંગ્રેજી (ઝામ્બિયા)"
en_ZW,"અંગ્રેજી (ઝિમ્બાબ્વે)"
en_TC,"અંગ્રેજી (ટર્ક્સ એન્ડ કૈકોસ આઇલેન્ડ્સ)"
en_TO,"અંગ્રેજી (ટોંગા)"
en_TK,"અંગ્રેજી (ટોકેલાઉ)"
en_DG,"અંગ્રેજી (ડિએગો ગારસિઆ)"
en_DM,"અંગ્રેજી (ડોમિનિકા)"
en_TZ,"અંગ્રેજી (તાંઝાનિયા)"
en_TV,"અંગ્રેજી (તુવાલુ)"
en_TT,"અંગ્રેજી (ત્રિનિદાદ અને ટોબેગો)"
en_ZA,"અંગ્રેજી (દક્ષિણ આફ્રિકા)"
en_SS,"અંગ્રેજી (દક્ષિણ સુદાન)"
en_NG,"અંગ્રેજી (નાઇજીરીયા)"
en_NA,"અંગ્રેજી (નામિબિયા)"
en_NU,"અંગ્રેજી (નીયુ)"
en_NF,"અંગ્રેજી (નોરફૉક આઇલેન્ડ)"
en_NR,"અંગ્રેજી (નૌરુ)"
en_NZ,"અંગ્રેજી (ન્યુઝીલેન્ડ)"
en_PW,"અંગ્રેજી (પલાઉ)"
en_PK,"અંગ્રેજી (પાકિસ્તાન)"
en_PG,"અંગ્રેજી (પાપુઆ ન્યૂ ગિની)"
en_PN,"અંગ્રેજી (પીટકૈર્ન આઇલેન્ડ્સ)"
en_PR,"અંગ્રેજી (પ્યુઅર્ટો રિકો)"
en_PH,"અંગ્રેજી (ફિલીપાઇન્સ)"
en_FJ,"અંગ્રેજી (ફીજી)"
en_FK,"અંગ્રેજી (ફૉકલેન્ડ આઇલેન્ડ્સ)"
en_BM,"અંગ્રેજી (બર્મુડા)"
en_BS,"અંગ્રેજી (બહામાસ)"
en_BB,"અંગ્રેજી (બાર્બાડોસ)"
en_BZ,"અંગ્રેજી (બેલીઝ)"
en_BE,"અંગ્રેજી (બેલ્જીયમ)"
en_BW,"અંગ્રેજી (બોત્સ્વાના)"
en_IO,"અંગ્રેજી (બ્રિટિશ ઇન્ડિયન ઓશન ટેરિટરી)"
en_VG,"અંગ્રેજી (બ્રિટિશ વર્જિન આઇલેન્ડ્સ)"
en_IN,"અંગ્રેજી (ભારત)"
en_MO,"અંગ્રેજી (મકાઉ SAR ચીન)"
en_MY,"અંગ્રેજી (મલેશિયા)"
en_FM,"અંગ્રેજી (માઇક્રોનેશિયા)"
en_MH,"અંગ્રેજી (માર્શલ આઇલેન્ડ્સ)"
en_MW,"અંગ્રેજી (માલાવી)"
en_MT,"અંગ્રેજી (માલ્ટા)"
en_MG,"અંગ્રેજી (મેડાગાસ્કર)"
en_MS,"અંગ્રેજી (મોંટસેરાત)"
en_MU,"અંગ્રેજી (મોરિશિયસ)"
en_VI,"અંગ્રેજી (યુ.એસ વર્જિન આઇલેન્ડ્સ)"
en_UG,"અંગ્રેજી (યુગાંડા)"
en_GB,"અંગ્રેજી (યુનાઇટેડ કિંગડમ)"
en_RW,"અંગ્રેજી (રવાંડા)"
en_LR,"અંગ્રેજી (લાઇબેરિયા)"
en_LS,"અંગ્રેજી (લેસોથો)"
en_VU,"અંગ્રેજી (વાનુઆતુ)"
en_SC,"અંગ્રેજી (શેશેલ્સ)"
en_US,"અંગ્રેજી (સંયુકત રાજ્ય અમેરિકા)"
en_UM,"અંગ્રેજી (સંયુક્ત રાજ્ય આઉટલાઇંગ આયલેન્ડ્સ)"
en_WS,"અંગ્રેજી (સમોઆ)"
en_SG,"અંગ્રેજી (સિંગાપુર)"
en_SX,"અંગ્રેજી (સિંટ માર્ટેન)"
en_SL,"અંગ્રેજી (સીએરા લેઓન)"
en_SD,"અંગ્રેજી (સુદાન)"
en_KN,"અંગ્રેજી (સેંટ કિટ્સ એંડ નેવિસ)"
en_LC,"અંગ્રેજી (સેંટ લુસિયા)"
en_SH,"અંગ્રેજી (સેંટ હેલેના)"
en_VC,"અંગ્રેજી (સેન્ટ વિન્સેન્ટ એન્ડ ગ્રેનેડીન્સ)"
en_SB,"અંગ્રેજી (સોલોમન આઇલેન્ડ્સ)"
en_SZ,"અંગ્રેજી (સ્વાઝિલેન્ડ)"
en_HK,"અંગ્રેજી (હોંગકોંગ SAR ચીન)"
ak,અકાન
ak_GH,"અકાન (ઘાના)"
az,અઝરબૈજાની
az_AZ,"અઝરબૈજાની (અઝરબૈજાન)"
az_Latn_AZ,"અઝરબૈજાની (લેટિન, અઝરબૈજાન)"
az_Latn,"અઝરબૈજાની (લેટિન)"
az_Cyrl_AZ,"અઝરબૈજાની (સિરિલિક, અઝરબૈજાન)"
az_Cyrl,"અઝરબૈજાની (સિરિલિક)"
ar,અરબી
ar_DZ,"અરબી (અલ્જીરિયા)"
ar_EG,"અરબી (ઇજિપ્ત)"
ar_IL,"અરબી (ઇઝરાઇલ)"
ar_IQ,"અરબી (ઇરાક)"
