id,value
en,अंग्रेज़ी
en_AS,"अंग्रेज़ी (अमेरिकी समोआ)"
en_IM,"अंग्रेज़ी (आइल ऑफ़ मैन)"
en_IE,"अंग्रेज़ी (आयरलैंड)"
en_ER,"अंग्रेज़ी (इरिट्रिया)"
en_MP,"अंग्रेज़ी (उत्तरी मारियाना द्वीपसमूह)"
en_AI,"अंग्रेज़ी (एंग्विला)"
en_AG,"अंग्रेज़ी (एंटिगुआ और बरबुडा)"
en_AU,"अंग्रेज़ी (ऑस्ट्रेलिया)"
en_CA,"अंग्रेज़ी (कनाडा)"
en_KI,"अंग्रेज़ी (किरिबाती)"
en_CK,"अंग्रेज़ी (कुक द्वीपसमूह)"
en_KE,"अंग्रेज़ी (केन्या)"
en_KY,"अंग्रेज़ी (केमैन द्वीपसमूह)"
en_CM,"अंग्रेज़ी (कैमरून)"
en_CC,"अंग्रेज़ी (कोकोस (कीलिंग) द्वीपसमूह)"
en_CX,"अंग्रेज़ी (क्रिसमस द्वीप)"
en_GY,"अंग्रेज़ी (गयाना)"
en_GG,"अंग्रेज़ी (गर्नसी)"
en_GM,"अंग्रेज़ी (गाम्बिया)"
en_GU,"अंग्रेज़ी (गुआम)"
en_GD,"अंग्रेज़ी (ग्रेनाडा)"
en_GH,"अंग्रेज़ी (घाना)"
en_JM,"अंग्रेज़ी (जमैका)"
en_JE,"अंग्रेज़ी (जर्सी)"
en_ZM,"अंग्रेज़ी (ज़ाम्बिया)"
en_GI,"अंग्रेज़ी (जिब्राल्टर)"
en_ZW,"अंग्रेज़ी (ज़िम्बाब्वे)"
en_TO,"अंग्रेज़ी (टोंगा)"
en_DG,"अंग्रेज़ी (डिएगो गार्सिया)"
en_DM,"अंग्रेज़ी (डोमिनिका)"
en_TZ,"अंग्रेज़ी (तंज़ानिया)"
en_TC,"अंग्रेज़ी (तुर्क और कैकोज़ द्वीपसमूह)"
en_TV,"अंग्रेज़ी (तुवालू)"
en_TK,"अंग्रेज़ी (तोकेलाउ)"
en_TT,"अंग्रेज़ी (त्रिनिदाद और टोबैगो)"
en_ZA,"अंग्रेज़ी (दक्षिण अफ़्रीका)"
en_SS,"अंग्रेज़ी (दक्षिण सूडान)"
en_NG,"अंग्रेज़ी (नाइजीरिया)"
en_NR,"अंग्रेज़ी (नाउरु)"
en_NA,"अंग्रेज़ी (नामीबिया)"
en_NU,"अंग्रेज़ी (नीयू)"
en_NF,"अंग्रेज़ी (नॉरफ़ॉक द्वीप)"
en_NZ,"अंग्रेज़ी (न्यूज़ीलैंड)"
en_PW,"अंग्रेज़ी (पलाऊ)"
en_PK,"अंग्रेज़ी (पाकिस्तान)"
en_PG,"अंग्रेज़ी (पापुआ न्यू गिनी)"
en_PN,"अंग्रेज़ी (पिटकैर्न द्वीपसमूह)"
en_PR,"अंग्रेज़ी (पोर्टो रिको)"
en_FJ,"अंग्रेज़ी (फ़िजी)"
en_PH,"अंग्रेज़ी (फ़िलिपींस)"
en_FK,"अंग्रेज़ी (फ़ॉकलैंड द्वीपसमूह)"
en_BM,"अंग्रेज़ी (बरमूडा)"
en_BS,"अंग्रेज़ी (बहामास)"
en_BB,"अंग्रेज़ी (बारबाडोस)"
en_BZ,"अंग्रेज़ी (बेलीज़)"
en_BE,"अंग्रेज़ी (बेल्जियम)"
en_BW,"अंग्रेज़ी (बोत्स्वाना)"
en_VG,"अंग्रेज़ी (ब्रिटिश वर्जिन द्वीपसमूह)"
en_IO,"अंग्रेज़ी (ब्रिटिश हिंद महासागरीय क्षेत्र)"
en_IN,"अंग्रेज़ी (भारत)"
en_MO,"अंग्रेज़ी (मकाऊ (विशेष प्रशासनिक क्षेत्र चीन))"
en_MW,"अंग्रेज़ी (मलावी)"
en_MY,"अंग्रेज़ी (मलेशिया)"
en_FM,"अंग्रेज़ी (माइक्रोनेशिया)"
en_MH,"अंग्रेज़ी (मार्शल द्वीपसमूह)"
en_MT,"अंग्रेज़ी (माल्टा)"
en_MG,"अंग्रेज़ी (मेडागास्कर)"
en_MU,"अंग्रेज़ी (मॉरिशस)"
en_MS,"अंग्रेज़ी (मोंटसेरात)"
en_UG,"अंग्रेज़ी (युगांडा)"
en_UM,"अंग्रेज़ी (यू.एस. आउटलाइंग द्वीपसमूह)"
en_VI,"अंग्रेज़ी (यू.एस. वर्जिन द्वीपसमूह)"
en_GB,"अंग्रेज़ी (यूनाइटेड किंगडम)"
en_RW,"अंग्रेज़ी (रवांडा)"
en_LR,"अंग्रेज़ी (लाइबेरिया)"
en_LS,"अंग्रेज़ी (लेसोथो)"
en_VU,"अंग्रेज़ी (वनुआतू)"
en_US,"अंग्रेज़ी (संयुक्त राज्य)"
en_WS,"अंग्रेज़ी (समोआ)"
en_SG,"अंग्रेज़ी (सिंगापुर)"
en_SX,"अंग्रेज़ी (सिंट मार्टिन)"
en_SL,"अंग्रेज़ी (सिएरा लियोन)"
en_SD,"अंग्रेज़ी (सूडान)"
en_KN,"अंग्रेज़ी (सेंट किट्स और नेविस)"
en_LC,"अंग्रेज़ी (सेंट लूसिया)"
en_VC,"अंग्रेज़ी (सेंट विंसेंट और ग्रेनाडाइंस)"
en_SH,"अंग्रेज़ी (सेंट हेलेना)"
en_SC,"अंग्रेज़ी (सेशेल्स)"
en_SB,"अंग्रेज़ी (सोलोमन द्वीपसमूह)"
en_SZ,"अंग्रेज़ी (स्वाज़ीलैंड)"
en_HK,"अंग्रेज़ी (हाँग काँग (चीन विशेष प्रशासनिक क्षेत्र))"
ak,अकन
ak_GH,"अकन (घाना)"
az,अज़रबैजानी
