id,value
is,アイスランド語
is_IS,"アイスランド語 (アイスランド)"
ga,アイルランド語
ga_IE,"アイルランド語 (アイルランド)"
ak,アカン語
ak_GH,"アカン語 (ガーナ)"
az,アゼルバイジャン語
az_AZ,"アゼルバイジャン語 (アゼルバイジャン)"
az_Cyrl_AZ,"アゼルバイジャン語 (キリル文字, アゼルバイジャン)"
az_Cyrl,"アゼルバイジャン語 (キリル文字)"
az_Latn_AZ,"アゼルバイジャン語 (ラテン文字, アゼルバイジャン)"
az_Latn,"アゼルバイジャン語 (ラテン文字)"
as,アッサム語
as_IN,"アッサム語 (インド)"
af,アフリカーンス語
af_NA,"アフリカーンス語 (ナミビア)"
af_ZA,"アフリカーンス語 (南アフリカ)"
am,アムハラ語
am_ET,"アムハラ語 (エチオピア)"
ar,アラビア語
ar_AE,"アラビア語 (アラブ首長国連邦)"
ar_DZ,"アラビア語 (アルジェリア)"
ar_YE,"アラビア語 (イエメン)"
ar_IL,"アラビア語 (イスラエル)"
ar_IQ,"アラビア語 (イラク)"
ar_EG,"アラビア語 (エジプト)"
ar_ER,"アラビア語 (エリトリア)"
ar_OM,"アラビア語 (オマーン)"
ar_QA,"アラビア語 (カタール)"
ar_KW,"アラビア語 (クウェート)"
ar_KM,"アラビア語 (コモロ)"
ar_SA,"アラビア語 (サウジアラビア)"
ar_DJ,"アラビア語 (ジブチ)"
ar_SY,"アラビア語 (シリア)"
ar_SD,"アラビア語 (スーダン)"
ar_SO,"アラビア語 (ソマリア)"
ar_TD,"アラビア語 (チャド)"
ar_TN,"アラビア語 (チュニジア)"
ar_BH,"アラビア語 (バーレーン)"
ar_PS,"アラビア語 (パレスチナ)"
ar_MR,"アラビア語 (モーリタニア)"
ar_MA,"アラビア語 (モロッコ)"
ar_JO,"アラビア語 (ヨルダン)"
ar_LY,"アラビア語 (リビア)"
ar_LB,"アラビア語 (レバノン)"
ar_EH,"アラビア語 (西サハラ)"
ar_SS,"アラビア語 (南スーダン)"
sq,アルバニア語
sq_AL,"アルバニア語 (アルバニア)"
sq_XK,"アルバニア語 (コソボ)"
sq_MK,"アルバニア語 (マケドニア)"
hy,アルメニア語
hy_AM,"アルメニア語 (アルメニア)"
it,イタリア語
it_IT,"イタリア語 (イタリア)"
it_SM,"イタリア語 (サンマリノ)"
it_CH,"イタリア語 (スイス)"
yi,イディッシュ語
ig,イボ語
ig_NG,"イボ語 (ナイジェリア)"
id,インドネシア語
id_ID,"インドネシア語 (インドネシア)"
ug,ウイグル語
ug_Arab_CN,"ウイグル語 (アラビア文字, 中国)"
ug_Arab,"ウイグル語 (アラビア文字)"
ug_CN,"ウイグル語 (中国)"
cy,ウェールズ語
cy_GB,"ウェールズ語 (イギリス)"
uk,ウクライナ語
uk_UA,"ウクライナ語 (ウクライナ)"
uz,ウズベク語
uz_AF,"ウズベク語 (アフガニスタン)"
uz_Arab_AF,"ウズベク語 (アラビア文字, アフガニスタン)"
uz_Arab,"ウズベク語 (アラビア文字)"
uz_UZ,"ウズベク語 (ウズベキスタン)"
uz_Cyrl_UZ,"ウズベク語 (キリル文字, ウズベキスタン)"
uz_Cyrl,"ウズベク語 (キリル文字)"
uz_Latn_UZ,"ウズベク語 (ラテン文字, ウズベキスタン)"
uz_Latn,"ウズベク語 (ラテン文字)"
ur,ウルドゥー語
ur_IN,"ウルドゥー語 (インド)"
ur_PK,"ウルドゥー語 (パキスタン)"
ee,エウェ語
ee_GH,"エウェ語 (ガーナ)"
ee_TG,"エウェ語 (トーゴ)"
et,エストニア語
et_EE,"エストニア語 (エストニア)"
eo,エスペラント語
os,オセット語
os_GE,"オセット語 (グルジア)"
os_RU,"オセット語 (ロシア)"
nl,オランダ語
nl_AW,"オランダ語 (アルバ)"
nl_NL,"オランダ語 (オランダ)"
nl_BQ,"オランダ語 (オランダ領カリブ)"
nl_CW,"オランダ語 (キュラソー)"
nl_SX,"オランダ語 (シント・マールテン)"
nl_SR,"オランダ語 (スリナム)"
nl_BE,"オランダ語 (ベルギー)"
or,オリヤー語
or_IN,"オリヤー語 (インド)"
om,オロモ語
om_ET,"オロモ語 (エチオピア)"
om_KE,"オロモ語 (ケニア)"
kk,カザフ語
kk_KZ,"カザフ語 (カザフスタン)"
kk_Cyrl_KZ,"カザフ語 (キリル文字, カザフスタン)"
kk_Cyrl,"カザフ語 (キリル文字)"
ks,カシミール語
ks_Arab_IN,"カシミール語 (アラビア文字, インド)"
ks_Arab,"カシミール語 (アラビア文字)"
ks_IN,"カシミール語 (インド)"
ca,カタロニア語
ca_AD,"カタロニア語 (アンドラ)"
ca_IT,"カタロニア語 (イタリア)"
ca_ES,"カタロニア語 (スペイン)"
ca_FR,"カタロニア語 (フランス)"
gl,ガリシア語
gl_ES,"ガリシア語 (スペイン)"
lg,ガンダ語
lg_UG,"ガンダ語 (ウガンダ)"
kn,カンナダ語
kn_IN,"カンナダ語 (インド)"
ki,キクユ語
ki_KE,"キクユ語 (ケニア)"
el,ギリシャ語
el_CY,"ギリシャ語 (キプロス)"
el_GR,"ギリシャ語 (ギリシャ)"
ky,キルギス語
ky_Cyrl_KG,"キルギス語 (キリル文字, キルギス)"
ky_Cyrl,"キルギス語 (キリル文字)"
ky_KG,"キルギス語 (キルギス)"
gu,グジャラート語
gu_IN,"グジャラート語 (インド)"
km,クメール語
km_KH,"クメール語 (カンボジア)"
kl,グリーンランド語
kl_GL,"グリーンランド語 (グリーンランド)"
ka,グルジア語
ka_GE,"グルジア語 (グルジア)"
hr,クロアチア語
hr_HR,"クロアチア語 (クロアチア)"
hr_BA,"クロアチア語 (ボスニア・ヘルツェゴビナ)"
qu,ケチュア語
qu_EC,"ケチュア語 (エクアドル)"
qu_PE,"ケチュア語 (ペルー)"
qu_BO,"ケチュア語 (ボリビア)"
kw,コーンウォール語
kw_GB,"コーンウォール語 (イギリス)"
sg,サンゴ語
sg_CF,"サンゴ語 (中央アフリカ共和国)"
sn,ショナ語
sn_ZW,"ショナ語 (ジンバブエ)"
si,シンハラ語
si_LK,"シンハラ語 (スリランカ)"
sv,スウェーデン語
sv_AX,"スウェーデン語 (オーランド諸島)"
sv_SE,"スウェーデン語 (スウェーデン)"
sv_FI,"スウェーデン語 (フィンランド)"
zu,ズールー語
zu_ZA,"ズールー語 (南アフリカ)"
gd,スコットランド・ゲール語
gd_GB,"スコットランド・ゲール語 (イギリス)"
es,スペイン語
es_US,"スペイン語 (アメリカ合衆国)"
es_AR,"スペイン語 (アルゼンチン)"
es_UY,"スペイン語 (ウルグアイ)"
es_EC,"スペイン語 (エクアドル)"
es_SV,"スペイン語 (エルサルバドル)"
es_IC,"スペイン語 (カナリア諸島)"
es_CU,"スペイン語 (キューバ)"
es_GT,"スペイン語 (グアテマラ)"
es_CR,"スペイン語 (コスタリカ)"
es_CO,"スペイン語 (コロンビア)"
es_ES,"スペイン語 (スペイン)"
es_EA,"スペイン語 (セウタ・メリリャ)"
es_CL,"スペイン語 (チリ)"
es_DO,"スペイン語 (ドミニカ共和国)"
es_NI,"スペイン語 (ニカラグア)"
es_PA,"スペイン語 (パナマ)"
es_PY,"スペイン語 (パラグアイ)"
es_PH,"スペイン語 (フィリピン)"
es_PR,"スペイン語 (プエルトリコ)"
es_VE,"スペイン語 (ベネズエラ)"
es_PE,"スペイン語 (ペルー)"
es_BO,"スペイン語 (ボリビア)"
es_HN,"スペイン語 (ホンジュラス)"
es_MX,"スペイン語 (メキシコ)"
es_GQ,"スペイン語 (赤道ギニア)"
sk,スロバキア語
sk_SK,"スロバキア語 (スロバキア)"
sl,スロベニア語
sl_SI,"スロベニア語 (スロベニア)"
sw,スワヒリ語
sw_UG,"スワヒリ語 (ウガンダ)"
sw_KE,"スワヒリ語 (ケニア)"
sw_TZ,"スワヒリ語 (タンザニア)"
sr,セルビア語
sr_Cyrl_XK,"セルビア語 (キリル文字, コソボ)"
sr_Cyrl_RS,"セルビア語 (キリル文字, セルビア)"
sr_Cyrl_BA,"セルビア語 (キリル文字, ボスニア・ヘルツェゴビナ)"
sr_Cyrl_ME,"セルビア語 (キリル文字, モンテネグロ)"
sr_Cyrl,"セルビア語 (キリル文字)"
sr_XK,"セルビア語 (コソボ)"
sr_RS,"セルビア語 (セルビア)"
sr_BA,"セルビア語 (ボスニア・ヘルツェゴビナ)"
sr_ME,"セルビア語 (モンテネグロ)"
sr_Latn_XK,"セルビア語 (ラテン文字, コソボ)"
sr_Latn_RS,"セルビア語 (ラテン文字, セルビア)"
sr_Latn_BA,"セルビア語 (ラテン文字, ボスニア・ヘルツェゴビナ)"
sr_Latn_ME,"セルビア語 (ラテン文字, モンテネグロ)"
sr_Latn,"セルビア語 (ラテン文字)"
sh,セルボ・クロアチア語
sh_BA,"セルボ・クロアチア語 (ボスニア・ヘルツェゴビナ)"
so,ソマリ語
so_ET,"ソマリ語 (エチオピア)"
so_KE,"ソマリ語 (ケニア)"
so_DJ,"ソマリ語 (ジブチ)"
so_SO,"ソマリ語 (ソマリア)"
dz,ゾンカ語
dz_BT,"ゾンカ語 (ブータン)"
th,タイ語
th_TH,"タイ語 (タイ)"
tl,タガログ語
tl_PH,"タガログ語 (フィリピン)"
ta,タミル語
ta_IN,"タミル語 (インド)"
ta_SG,"タミル語 (シンガポール)"
ta_LK,"タミル語 (スリランカ)"
ta_MY,"タミル語 (マレーシア)"
cs,チェコ語
cs_CZ,"チェコ語 (チェコ共和国)"
bo,チベット語
bo_IN,"チベット語 (インド)"
bo_CN,"チベット語 (中国)"
ti,ティグリニア語
ti_ET,"ティグリニア語 (エチオピア)"
ti_ER,"ティグリニア語 (エリトリア)"
te,テルグ語
te_IN,"テルグ語 (インド)"
da,デンマーク語
da_GL,"デンマーク語 (グリーンランド)"
da_DK,"デンマーク語 (デンマーク)"
de,ドイツ語
de_AT,"ドイツ語 (オーストリア)"
de_CH,"ドイツ語 (スイス)"
de_DE,"ドイツ語 (ドイツ)"
de_BE,"ドイツ語 (ベルギー)"
de_LI,"ドイツ語 (リヒテンシュタイン)"
de_LU,"ドイツ語 (ルクセンブルグ)"
tr,トルコ語
tr_CY,"トルコ語 (キプロス)"
tr_TR,"トルコ語 (トルコ)"
to,トンガ語
