id,value
sq_XK,"Albanian (Kosovo)"
ar_JO,"Arabic (Jordan)"
ar_SS,"Arabic (South Sudan)"
nl_CW,"Dutch (Curaçao)"
nl_SX,"Dutch (Sint Maarten)"
en_DG,"English (Diego Garcia)"
en_FM,"English (Micronesia)"
en_SX,"English (Sint Maarten)"
en_SS,"English (South Sudan)"
fo_FO,"Faroese (Faroe Islands)"
sr_Cyrl_XK,"Serbian (Cyrillic, Kosovo)"
sr_XK,"Serbian (Kosovo)"
sr_Latn_XK,"Serbian (Latin, Kosovo)"
es_IC,"Spanish (Canary Islands)"
es_EA,"Spanish (Ceuta & Melilla)"
ug,Uyghur
ug_Arab_CN,"Uyghur (Arabic, China)"
ug_Arab,"Uyghur (Arabic)"
ug_CN,"Uyghur (China)"
is,آیِسلینڈِک
is_IS,"آیِسلینڈِک (اَیِسلینٛڑ)"
it,اِٹیلیَن
it_IT,"اِٹیلیَن (اِٹلی)"
it_CH,"اِٹیلیَن (سُوِزَرلینٛڑ)"
it_SM,"اِٹیلیَن (سین میرِنو)"
ur,اُردوٗ
ur_PK,"اُردوٗ (پاکِستان)"
ur_IN,"اُردوٗ (ہِنٛدوستان)"
hy,اَرمینیَن
hy_AM,"اَرمینیَن (اَرمانِیا)"
uz,اُزبیک
uz_Arab_AF,"اُزبیک (اَربی, اَفغانَستان)"
uz_Arab,"اُزبیک (اَربی)"
uz_UZ,"اُزبیک (اُزبِکِستان)"
uz_AF,"اُزبیک (اَفغانَستان)"
uz_Cyrl_UZ,"اُزبیک (سَیرِلِک, اُزبِکِستان)"
uz_Cyrl,"اُزبیک (سَیرِلِک)"
uz_Latn_UZ,"اُزبیک (لیٹِن, اُزبِکِستان)"
uz_Latn,"اُزبیک (لیٹِن)"
az,اَزَربیجانی
az_AZ,"اَزَربیجانی (آزَرباجان)"
az_Cyrl_AZ,"اَزَربیجانی (سَیرِلِک, آزَرباجان)"
az_Cyrl,"اَزَربیجانی (سَیرِلِک)"
az_Latn_AZ,"اَزَربیجانی (لیٹِن, آزَرباجان)"
az_Latn,"اَزَربیجانی (لیٹِن)"
as,اسٲمۍ
as_IN,"اسٲمۍ (ہِنٛدوستان)"
af,اَفریٖکانٛز
af_ZA,"اَفریٖکانٛز (جَنوٗبی اَفریٖکا)"
af_NA,"اَفریٖکانٛز (نامِبِیا)"
ak,اَکان
ak_GH,"اَکان (گانا)"
ig,اِگبو
ig_NG,"اِگبو (نایجیرِیا)"
sq,البانِیَن
sq_AL,"البانِیَن (اٮ۪لبانِیا)"
sq_MK,"البانِیَن (مٮ۪سوڑونِیا)"
am,اَمہاری
am_ET,"اَمہاری (اِتھوپِیا)"
id,اِنڈونیشیا
id_ID,"اِنڈونیشیا (اِنڑونیشِیا)"
en,اَنٛگیٖزۍ
en_AU,"اَنٛگیٖزۍ (آسٹریلِیا)"
en_IM,"اَنٛگیٖزۍ (آیِل آف میٛن)"
en_AG,"اَنٛگیٖزۍ (اٮ۪نٹِگُوا تہٕ باربوڑا)"
en_ER,"اَنٛگیٖزۍ (اِرٕٹِیا)"
en_AS,"اَنٛگیٖزۍ (اَمریٖکَن سَموا)"
en_AI,"اَنٛگیٖزۍ (انگوئیلا)"
en_IE,"اَنٛگیٖزۍ (اَیَرلینٛڑ)"
en_BB,"اَنٛگیٖزۍ (باربیڈاس)"
en_VG,"اَنٛگیٖزۍ (بَرطانوی ؤرجِن جٔزیٖرٕ)"
en_IO,"اَنٛگیٖزۍ (برطانوی بحرِ ہِنٛدۍ علاقہٕ)"
en_BM,"اَنٛگیٖزۍ (بٔرمیوڈا)"
en_BS,"اَنٛگیٖزۍ (بَہامَس)"
en_BW,"اَنٛگیٖزۍ (بوتَسوانا)"
en_BZ,"اَنٛگیٖزۍ (بیلِج)"
en_BE,"اَنٛگیٖزۍ (بیٛلجِیَم)"
en_PG,"اَنٛگیٖزۍ (پاپُوا نیوٗ گیٖنی)"
en_PK,"اَنٛگیٖزۍ (پاکِستان)"
en_PN,"اَنٛگیٖزۍ (پِٹکیرٕنۍ جٔزیٖرٕ)"
en_PR,"اَنٛگیٖزۍ (پٔرٹو رِکو)"
en_PW,"اَنٛگیٖزۍ (پَلاو)"
en_TC,"اَنٛگیٖزۍ (تُرُک تہٕ کیکوس جٔزیٖرٕ)"
en_TZ,"اَنٛگیٖزۍ (تَنجانِیا)"
en_TK,"اَنٛگیٖزۍ (توکیلاو)"
en_TV,"اَنٛگیٖزۍ (توٗوالوٗ)"
en_TT,"اَنٛگیٖزۍ (ٹرٛنِنداد تہٕ ٹوبیگو)"
en_TO,"اَنٛگیٖزۍ (ٹونٛگا)"
en_ZM,"اَنٛگیٖزۍ (جامبِیا)"
en_GI,"اَنٛگیٖزۍ (جِبرالٹَر)"
en_JE,"اَنٛگیٖزۍ (جٔرسی)"
en_JM,"اَنٛگیٖزۍ (جَمایکا)"
en_ZA,"اَنٛگیٖزۍ (جَنوٗبی اَفریٖکا)"
en_DM,"اَنٛگیٖزۍ (ڈومِنِکا)"
en_RW,"اَنٛگیٖزۍ (روٗوانٛڈا)"
en_ZW,"اَنٛگیٖزۍ (زِمبابے)"
en_SG,"اَنٛگیٖزۍ (ٛسِنٛگاپوٗر)"
en_SD,"اَنٛگیٖزۍ (سوٗڈان)"
en_SZ,"اَنٛگیٖزۍ (سُوزِلینٛڑ)"
en_SB,"اَنٛگیٖزۍ (سولامان جٔزیٖرٕ)"
en_SL,"اَنٛگیٖزۍ (سیٖرالیوون)"
en_SC,"اَنٛگیٖزۍ (سیشَلِس)"
en_WS,"اَنٛگیٖزۍ (سیمووا)"
en_KN,"اَنٛگیٖزۍ (سینٛٹ کِٹَس تہٕ نیوِس)"
en_LC,"اَنٛگیٖزۍ (سینٛٹ لوٗسِیا)"
en_SH,"اَنٛگیٖزۍ (سینٛٹ ہٮ۪لِنا)"
en_VC,"اَنٛگیٖزۍ (سینٛٹ وینسٮ۪ٹ تہٕ گرٛیناڑاینٕز)"
en_MP,"اَنٛگیٖزۍ (شُمٲلی مارِیانا جٔزیٖرٕ)"
en_FJ,"اَنٛگیٖزۍ (فِجی)"
en_FK,"اَنٛگیٖزۍ (فٕلاکلینٛڑ جٔزیٖرٕ)"
en_PH,"اَنٛگیٖزۍ (فِلِپِینس)"
en_KI,"اَنٛگیٖزۍ (کِرٕباتی)"
en_CX,"اَنٛگیٖزۍ (کرِسمَس جٔزیٖرٕ)"
en_CK,"اَنٛگیٖزۍ (کُک جٔزیٖرٕ)"
en_KE,"اَنٛگیٖزۍ (کِنٛیا)"
en_CC,"اَنٛگیٖزۍ (کوکَس کیٖلِنٛگ جٔزیٖرٕ)"
en_CM,"اَنٛگیٖزۍ (کیٚمِروٗن)"
en_KY,"اَنٛگیٖزۍ (کیمَن جٔزیٖرٕ)"
en_CA,"اَنٛگیٖزۍ (کینَڑا)"
en_GH,"اَنٛگیٖزۍ (گانا)"
en_GD,"اَنٛگیٖزۍ (گرٛنیڑا)"
en_GM,"اَنٛگیٖزۍ (گَمبِیا)"
en_GU,"اَنٛگیٖزۍ (گُوام)"
en_GY,"اَنٛگیٖزۍ (گُیانا)"
en_GG,"اَنٛگیٖزۍ (گیوَنَرسے)"
en_LR,"اَنٛگیٖزۍ (لایبیرِیا)"
en_LS,"اَنٛگیٖزۍ (لیسوتھو)"
en_MH,"اَنٛگیٖزۍ (مارشَل جٔزیٖرٕ)"
en_MT,"اَنٛگیٖزۍ (مالٹا)"
en_MS,"اَنٛگیٖزۍ (مانٛٹسیراٹ)"
en_MO,"اَنٛگیٖزۍ (مَکاوو ایس اے آر چیٖن)"
en_MW,"اَنٛگیٖزۍ (ملاوی)"
en_MY,"اَنٛگیٖزۍ (مَلیشِیا)"
en_MU,"اَنٛگیٖزۍ (مورِشَس)"
en_MG,"اَنٛگیٖزۍ (میڑاگاسکار)"
