id,value
af,afrikanų
af_NA,"afrikanų (Namibija)"
af_ZA,"afrikanų (Pietų Afrika)"
ga,airių
ga_IE,"airių (Airija)"
ak,akanų
ak_GH,"akanų (Gana)"
sq,albanų
sq_AL,"albanų (Albanija)"
sq_XK,"albanų (Kosovas)"
sq_MK,"albanų (Makedonija)"
am,amharų
am_ET,"amharų (Etiopija)"
en,anglų
en_IE,"anglų (Airija)"
en_AS,"anglų (Amerikos Samoa)"
en_AI,"anglų (Angilija)"
en_AG,"anglų (Antigva ir Barbuda)"
en_AU,"anglų (Australija)"
en_BS,"anglų (Bahamos)"
en_BB,"anglų (Barbadosas)"
en_BE,"anglų (Belgija)"
en_BZ,"anglų (Belizas)"
en_BM,"anglų (Bermuda)"
en_BW,"anglų (Botsvana)"
en_GB,"anglų (Didžioji Britanija)"
en_VG,"anglų (Didžiosios Britanijos Mergelių Salos)"
en_DG,"anglų (Diego Garsija)"
en_DM,"anglų (Dominika)"
en_JE,"anglų (Džersis)"
en_ER,"anglų (Eritrėja)"
en_FJ,"anglų (Fidžis)"
en_PH,"anglų (Filipinai)"
en_FK,"anglų (Folklando Salos)"
en_GY,"anglų (Gajana)"
en_GM,"anglų (Gambija)"
en_GH,"anglų (Gana)"
en_GG,"anglų (Gernsis)"
en_GI,"anglų (Gibraltaras)"
en_GD,"anglų (Grenada)"
en_GU,"anglų (Guamas)"
en_IN,"anglų (Indija)"
en_IO,"anglų (Indijos Vandenyno Britų Sritis)"
en_HK,"anglų (Ypatingasis Administracinis Kinijos Regionas Honkongas)"
en_MO,"anglų (Ypatingasis Administracinis Kinijos Regionas Makao)"
en_JM,"anglų (Jamaika)"
en_US,"anglų (Jungtinės Valstijos)"
en_UM,"anglų (Jungtinių Valstijų Mažosios Tolimosios Salos)"
en_VI,"anglų (Jungtinių Valstijų Mergelių Salos)"
en_KY,"anglų (Kaimanų Salos)"
en_CX,"anglų (Kalėdų Sala)"
en_CM,"anglų (Kamerūnas)"
en_CA,"anglų (Kanada)"
en_KE,"anglų (Kenija)"
en_KI,"anglų (Kiribatis)"
en_CC,"anglų (Kokosų (Kilingo) Salos)"
en_CK,"anglų (Kuko Salos)"
en_LS,"anglų (Lesotas)"
en_LR,"anglų (Liberija)"
en_MG,"anglų (Madagaskaras)"
en_MY,"anglų (Malaizija)"
en_MW,"anglų (Malavis)"
en_MT,"anglų (Malta)"
en_MP,"anglų (Marianos Šiaurinės Salos)"
en_MH,"anglų (Maršalo Salos)"
en_MU,"anglų (Mauricijus)"
en_IM,"anglų (Meno Sala)"
en_FM,"anglų (Mikronezija)"
en_MS,"anglų (Montseratas)"
en_NA,"anglų (Namibija)"
en_NZ,"anglų (Naujoji Zelandija)"
en_NR,"anglų (Nauru)"
