id,value
az,азербејџански
az_AZ,"азербејџански (Азербејџан)"
az_Cyrl_AZ,"азербејџански (кирилско писмо, Азербејџан)"
az_Cyrl,"азербејџански (кирилско писмо)"
az_Latn_AZ,"азербејџански (латинично писмо, Азербејџан)"
az_Latn,"азербејџански (латинично писмо)"
ak,акански
ak_GH,"акански (Гана)"
sq,албански
sq_AL,"албански (Албанија)"
sq_XK,"албански (Косово)"
sq_MK,"албански (Македонија)"
am,амхарски
am_ET,"амхарски (Етиопија)"
en,англиски
en_AU,"англиски (Австралија)"
en_AS,"англиски (Американска Самоа)"
en_VI,"англиски (Американски Девствени Острови)"
en_UM,"англиски (Американски територии во Пацификот)"
en_AI,"англиски (Ангвила)"
en_AG,"англиски (Антигва и Барбуда)"
en_BB,"англиски (Барбадос)"
en_BS,"англиски (Бахами)"
en_BE,"англиски (Белгија)"
en_BZ,"англиски (Белизе)"
en_BM,"англиски (Бермуди)"
en_CX,"англиски (Божиќен Остров)"
en_BW,"англиски (Боцвана)"
en_IO,"англиски (Британска Индоокеанска Територија)"
en_VG,"англиски (Британски Девствени Острови)"
en_VU,"англиски (Вануату)"
en_GM,"англиски (Гамбија)"
en_GH,"англиски (Гана)"
en_GY,"англиски (Гвајана)"
en_GU,"англиски (Гвам)"
en_GG,"англиски (Гернзи)"
en_GI,"англиски (Гибралтар)"
en_GD,"англиски (Гренада)"
en_DG,"англиски (Диего Гарсија)"
en_DM,"англиски (Доминика)"
en_ER,"англиски (Еритреја)"
en_ZM,"англиски (Замбија)"
en_ZW,"англиски (Зимбабве)"
en_IN,"англиски (Индија)"
en_IE,"англиски (Ирска)"
en_JM,"англиски (Јамајка)"
en_SS,"англиски (Јужен Судан)"
en_ZA,"англиски (Јужноафриканска Република)"
en_KY,"англиски (Кајмански Острови)"
en_CM,"англиски (Камерун)"
en_CA,"англиски (Канада)"
en_KE,"англиски (Кенија)"
en_KI,"англиски (Кирибати)"
en_CC,"англиски (Кокосови (Килиншки) Острови)"
en_CK,"англиски (Кукови Острови)"
en_LS,"англиски (Лесото)"
en_LR,"англиски (Либерија)"
en_MU,"англиски (Маврициус)"
en_MG,"англиски (Мадагаскар)"
en_MO,"англиски (Макао С.А.Р Кина)"
en_MW,"англиски (Малави)"
en_MY,"англиски (Малезија)"
en_MT,"англиски (Малта)"
en_MH,"англиски (Маршалски Острови)"
en_FM,"англиски (Микронезија)"
en_MS,"англиски (Монсерат)"
en_NA,"англиски (Намибија)"
en_NR,"англиски (Науру)"
en_NG,"англиски (Нигерија)"
en_NU,"англиски (Ниуе)"
en_NZ,"англиски (Нов Зеланд)"
en_NF,"англиски (Норфолшки Остров)"
en_GB,"англиски (Обединето Кралство)"
en_IM,"англиски (Остров Ман)"
en_TC,"англиски (Острови Туркс и Кајкос)"
en_PK,"англиски (Пакистан)"
en_PW,"англиски (Палау)"
en_PG,"англиски (Папуа Нова Гвинеја)"
en_PN,"англиски (Питкернски Острови)"
en_PR,"англиски (Порторико)"
en_RW,"англиски (Руанда)"
en_WS,"англиски (Самоа)"
en_SZ,"англиски (Свазиленд)"
en_SH,"англиски (Света Елена)"
en_LC,"англиски (Света Луција)"
en_VC,"англиски (Свети Винсент и Гренадините)"
en_KN,"англиски (Свети Кристофер и Невис)"
en_SX,"англиски (Свети Мартин)"
en_MP,"англиски (Северни Маријански Острови)"
en_SC,"англиски (Сејшели)"
en_SL,"англиски (Сиера Леоне)"
en_SG,"англиски (Сингапур)"
en_US,"англиски (Соединети Американски Држави)"
