id,value
ff,Fulah
ff_CM,"Fulah (Cameroon)"
ff_GN,"Fulah (Guinea)"
ff_MR,"Fulah (Mauritania)"
ff_SN,"Fulah (Senegal)"
no,Norwegian
no_NO,"Norwegian (Norway)"
os,Ossetic
os_GE,"Ossetic (Georgia)"
os_RU,"Ossetic (Russia)"
gd,"Scottish Gaelic"
gd_GB,"Scottish Gaelic (United Kingdom)"
sh,Serbo-Croatian
sh_BA,"Serbo-Croatian (Bosnia & Herzegovina)"
tl,Tagalog
tl_PH,"Tagalog (Philippines)"
yi,Yiddish
en,अंग्रेजी
en_AS,"अंग्रेजी (अमेरिकी समोआ)"
en_AU,"अंग्रेजी (अष्ट्रेलिया)"
en_IM,"अंग्रेजी (आइज्ले अफ् म्यान)"
en_AI,"अंग्रेजी (आङ्गुइला)"
en_IE,"अंग्रेजी (आयरल्याण्ड)"
en_MP,"अंग्रेजी (उत्तरी मारिआना टापु)"
en_AG,"अंग्रेजी (एन्टिगुआ र बारबुडा)"
en_ER,"अंग्रेजी (एरित्रिया)"
en_KI,"अंग्रेजी (किरिबाटी)"
en_CK,"अंग्रेजी (कुक टापुहरु)"
en_KE,"अंग्रेजी (केन्या)"
en_KY,"अंग्रेजी (केयमान टापु)"
en_CC,"अंग्रेजी (कोकोस (किलिंग) टापुहरु)"
en_CA,"अंग्रेजी (क्यानाडा)"
en_CM,"अंग्रेजी (क्यामरून)"
en_CX,"अंग्रेजी (क्रिष्टमस टापु)"
en_GM,"अंग्रेजी (गाम्विया)"
en_GG,"अंग्रेजी (गुएर्नसे)"
en_GY,"अंग्रेजी (गुयाना)"
en_GU,"अंग्रेजी (गुवाम)"
en_GD,"अंग्रेजी (ग्रेनाडा)"
en_GH,"अंग्रेजी (घाना)"
en_JM,"अंग्रेजी (जमाइका)"
en_JE,"अंग्रेजी (जर्सी)"
en_ZM,"अंग्रेजी (जाम्बिया)"
en_GI,"अंग्रेजी (जिब्राल्टार)"
en_ZW,"अंग्रेजी (जिम्बाबे)"
en_TO,"अंग्रेजी (टोंगा)"
en_DG,"अंग्रेजी (डियगो गार्सिया)"
en_DM,"अंग्रेजी (डोमिनिका)"
en_TZ,"अंग्रेजी (तान्जानिया)"
en_TV,"अंग्रेजी (तुभालु)"
en_TC,"अंग्रेजी (तुर्क र काइकोस टापु)"
en_TK,"अंग्रेजी (तोकेलाउ)"
en_TT,"अंग्रेजी (त्रिनिडाड एण्ड टोबागो)"
en_ZA,"अंग्रेजी (दक्षिण अफ्रिका)"
en_SS,"अंग्रेजी (दक्षिणी सुडान)"
en_NG,"अंग्रेजी (नाइजेरिया)"
en_NR,"अंग्रेजी (नाउरू)"
en_NA,"अंग्रेजी (नामिबिया)"
en_NU,"अंग्रेजी (नियुइ)"
en_NF,"अंग्रेजी (नोरफोल्क टापु)"
en_NZ,"अंग्रेजी (न्युजिल्याण्ड)"
en_PG,"अंग्रेजी (पपुआ न्यू गाइनिया)"
en_PW,"अंग्रेजी (पलाउ)"
en_PK,"अंग्रेजी (पाकिस्तान)"
en_PN,"अंग्रेजी (पिटकाइर्न टापुहरु)"
en_PR,"अंग्रेजी (पुएर्टो रिको)"
en_FK,"अंग्रेजी (फकल्याण्ड टापुहरु)"
en_FJ,"अंग्रेजी (फिजी)"
en_PH,"अंग्रेजी (फिलिपिन्स)"
en_BM,"अंग्रेजी (बर्मुडा)"
en_BS,"अंग्रेजी (बहामास)"
en_BB,"अंग्रेजी (बार्बाडोस)"
en_GB,"अंग्रेजी (बेलायत)"
en_VG,"अंग्रेजी (बेलायती भर्जिन टापुहरु)"
en_IO,"अंग्रेजी (बेलायती हिन्द महासागर क्षेत्र)"
en_BZ,"अंग्रेजी (बेलिज)"
en_BE,"अंग्रेजी (बेल्जियम)"
en_BW,"अंग्रेजी (बोट्स्वाना)"
en_VU,"अंग्रेजी (भानुआतु)"
en_IN,"अंग्रेजी (भारत)"
en_MO,"अंग्रेजी (मकावो चिनिँया स्वशासित क्षेत्र)"
en_MG,"अंग्रेजी (मडागास्कर)"
en_MY,"अंग्रेजी (मलेसिया)"
en_FM,"अंग्रेजी (माइक्रोनेसिया)"
en_MU,"अंग्रेजी (माउरिटस)"
en_MH,"अंग्रेजी (मार्शल टापुहरु)"
en_MW,"अंग्रेजी (मालावी)"
en_MT,"अंग्रेजी (माल्टा)"
en_MS,"अंग्रेजी (मोन्टसेर्राट)"
en_UG,"अंग्रेजी (युगाण्डा)"
en_RW,"अंग्रेजी (रवाण्डा)"
en_LR,"अंग्रेजी (लाइबेरिया)"
en_LS,"अंग्रेजी (लेसोथो)"
en_UM,"अंग्रेजी (संयुक्त राज्य बाह्य टापुहरु)"
en_VI,"अंग्रेजी (संयुक्त राज्य भर्जिन टापुहरु)"
en_US,"अंग्रेजी (संयुक्त राज्य)"
en_WS,"अंग्रेजी (सामोआ)"
en_SL,"अंग्रेजी (सिएर्रा लिओन)"
en_SG,"अंग्रेजी (सिङ्गापुर)"
en_SX,"अंग्रेजी (सिन्ट मार्टेन)"
en_SD,"अंग्रेजी (सुडान)"
en_SC,"अंग्रेजी (सेचेलेस)"
en_KN,"अंग्रेजी (सेन्ट किट्स र नेभिस)"
en_VC,"अंग्रेजी (सेन्ट भिन्सेन्ट र ग्रेनाडिन्स)"
en_LC,"अंग्रेजी (सेन्ट लुसिया)"
en_SH,"अंग्रेजी (सेन्ट हेलेना)"
en_SB,"अंग्रेजी (सोलोमोन टापुहरु)"
en_SZ,"अंग्रेजी (स्वाजिल्याण्ड)"
en_HK,"अंग्रेजी (हङकङ चिनिया समाजवादी स्वायत्त क्षेत्र)"
az,अजरबैजानी
az_AZ,"अजरबैजानी (अजरबैजान)"
az_Latn_AZ,"अजरबैजानी (ल्याटिन, अजरबैजान)"
az_Latn,"अजरबैजानी (ल्याटिन)"
az_Cyrl_AZ,"अजरबैजानी (सिरिलिक, अजरबैजान)"
az_Cyrl,"अजरबैजानी (सिरिलिक)"
af,अफ्रिकान्स
af_ZA,"अफ्रिकान्स (दक्षिण अफ्रिका)"
af_NA,"अफ्रिकान्स (नामिबिया)"
am,अम्हारिक
am_ET,"अम्हारिक (इथियोपिया)"
ar,अरबी
ar_DZ,"अरबी (अल्जेरिया)"
ar_IL,"अरबी (इजरायल)"
ar_EG,"अरबी (इजिप्ट)"
ar_IQ,"अरबी (इराक)"
ar_ER,"अरबी (एरित्रिया)"
ar_OM,"अरबी (ओमन)"
ar_QA,"अरबी (कतार)"
ar_KW,"अरबी (कुवेत)"
ar_KM,"अरबी (कोमोरोस)"
ar_TD,"अरबी (चाड)"
ar_JO,"अरबी (जोर्डन)"
ar_TN,"अरबी (ट्युनिसिया)"
ar_DJ,"अरबी (डिजिबुटी)"
ar_SS,"अरबी (दक्षिणी सुडान)"
ar_EH,"अरबी (पश्चिमी साहारा)"
ar_PS,"अरबी (प्यालेस्टनी भू-भागहरु)"
ar_BH,"अरबी (बहराइन)"
ar_MR,"अरबी (माउरिटानिया)"
ar_MA,"अरबी (मोरोक्को)"
ar_YE,"अरबी (येमेन)"
ar_LY,"अरबी (लिबिया)"
ar_LB,"अरबी (लेबनन)"
ar_AE,"अरबी (संयुक्त अरब इमिराट्स)"
ar_SA,"अरबी (साउदी अरब)"
ar_SY,"अरबी (सिरिया)"
ar_SD,"अरबी (सुडान)"
ar_SO,"अरबी (सोमालिया)"
sq,अल्बेनियन
sq_AL,"अल्बेनियन (अल्बानिया)"
sq_XK,"अल्बेनियन (कोसोवो)"
sq_MK,"अल्बेनियन (म्याकेडोनिया)"
ga,आइरिश
ga_IE,"आइरिश (आयरल्याण्ड)"
is,आइसल्यान्डिक
is_IS,"आइसल्यान्डिक (आइस्ल्याण्ड)"
ak,आकान
ak_GH,"आकान (घाना)"
hy,आर्मेनियाली
hy_AM,"आर्मेनियाली (आर्मेनिया)"
as,आसामी
as_IN,"आसामी (भारत)"
ig,इग्बो
ig_NG,"इग्बो (नाइजेरिया)"
it,इटालियन
it_IT,"इटालियन (इटाली)"
it_SM,"इटालियन (सान् मारिनो)"
it_CH,"इटालियन (स्विजरल्याण्ड)"
id,इन्डोनेसियाली
id_ID,"इन्डोनेसियाली (इन्डोनेशिया)"
ee,इवि
