id,value
ak,அகான்
ak_GH,"அகான் (கானா)"
am,அம்ஹாரிக்
am_ET,"அம்ஹாரிக் (எதியோப்பியா)"
ar,அரபிக்
ar_DZ,"அரபிக் (அல்ஜீரியா)"
ar_IL,"அரபிக் (இஸ்ரேல்)"
ar_IQ,"அரபிக் (ஈராக்)"
ar_EG,"அரபிக் (எகிப்து)"
ar_ER,"அரபிக் (எரிட்ரியா)"
ar_YE,"அரபிக் (ஏமன்)"
ar_AE,"அரபிக் (ஐக்கிய அரபு எமிரேட்ஸ்)"
ar_OM,"அரபிக் (ஓமன்)"
ar_QA,"அரபிக் (கத்தார்)"
ar_KW,"அரபிக் (குவைத்)"
ar_KM,"அரபிக் (கோமரோஸ்)"
ar_SA,"அரபிக் (சவூதி அரேபியா)"
ar_TD,"அரபிக் (சாட்)"
ar_SY,"அரபிக் (சிரியா)"
ar_SD,"அரபிக் (சூடான்)"
ar_SO,"அரபிக் (சோமாலியா)"
ar_TN,"அரபிக் (டுனிசியா)"
ar_SS,"அரபிக் (தெற்கு சூடான்)"
ar_BH,"அரபிக் (பஹ்ரைன்)"
ar_PS,"அரபிக் (பாலஸ்தீனிய பிரதேசங்கள்)"
ar_EH,"அரபிக் (மேற்கு சஹாரா)"
ar_MA,"அரபிக் (மொராக்கோ)"
ar_MR,"அரபிக் (மௌரிடானியா)"
ar_LY,"அரபிக் (லிபியா)"
ar_LB,"அரபிக் (லெபனான்)"
ar_DJ,"அரபிக் (ஜிபௌட்டி)"
ar_JO,"அரபிக் (ஜோர்டான்)"
sq,அல்பேனியன்
sq_AL,"அல்பேனியன் (அல்பேனியா)"
sq_XK,"அல்பேனியன் (கொசோவோ)"
sq_MK,"அல்பேனியன் (மாசிடோனியா)"
as,அஸ்ஸாமி
as_IN,"அஸ்ஸாமி (இந்தியா)"
az,அஸர்பைஜானி
az_AZ,"அஸர்பைஜானி (அசர்பைஜான்)"
az_Cyrl_AZ,"அஸர்பைஜானி (சிரிலிக், அசர்பைஜான்)"
az_Cyrl,"அஸர்பைஜானி (சிரிலிக்)"
az_Latn_AZ,"அஸர்பைஜானி (லத்தின், அசர்பைஜான்)"
az_Latn,"அஸர்பைஜானி (லத்தின்)"
af,ஆஃப்ரிகான்ஸ்
af_ZA,"ஆஃப்ரிகான்ஸ் (தென் ஆப்பிரிக்கா)"
af_NA,"ஆஃப்ரிகான்ஸ் (நமீபியா)"
en,ஆங்கிலம்
en_AI,"ஆங்கிலம் (அங்குய்லா)"
en_AS,"ஆங்கிலம் (அமெரிக்க சமோவா)"
en_US,"ஆங்கிலம் (அமெரிக்கா)"
en_IE,"ஆங்கிலம் (அயர்லாந்து)"
en_AG,"ஆங்கிலம் (ஆண்டிகுவா மற்றும் பார்புடா)"
en_AU,"ஆங்கிலம் (ஆஸ்திரேலியா)"
en_IN,"ஆங்கிலம் (இந்தியா)"
en_UG,"ஆங்கிலம் (உகாண்டா)"
en_ER,"ஆங்கிலம் (எரிட்ரியா)"
en_GB,"ஆங்கிலம் (ஐக்கிய பேரரசு)"
en_IM,"ஆங்கிலம் (ஐல் ஆஃப் மேன்)"
en_FK,"ஆங்கிலம் (ஃபாக்லாந்து தீவுகள்)"
en_FJ,"ஆங்கிலம் (ஃபிஜி)"
en_GY,"ஆங்கிலம் (கயானா)"
en_CA,"ஆங்கிலம் (கனடா)"
en_GM,"ஆங்கிலம் (காம்பியா)"
en_GH,"ஆங்கிலம் (கானா)"
en_GD,"ஆங்கிலம் (கிரனெடா)"
en_KI,"ஆங்கிலம் (கிரிபடி)"
en_CX,"ஆங்கிலம் (கிறிஸ்துமஸ் தீவு)"
en_CK,"ஆங்கிலம் (குக் தீவுகள்)"
en_GU,"ஆங்கிலம் (குவாம்)"
en_GG,"ஆங்கிலம் (கெர்ன்சி)"
en_KE,"ஆங்கிலம் (கென்யா)"
en_CM,"ஆங்கிலம் (கேமரூன்)"
en_KY,"ஆங்கிலம் (கேமென் தீவுகள்)"
en_CC,"ஆங்கிலம் (கோகோஸ் (கீலிங்) தீவுகள்)"
en_WS,"ஆங்கிலம் (சமோவா)"
en_SB,"ஆங்கிலம் (சாலமன் தீவுகள்)"
en_SG,"ஆங்கிலம் (சிங்கப்பூர்)"
en_SL,"ஆங்கிலம் (சியர்ரா லியோன்)"
en_SX,"ஆங்கிலம் (சின்ட் மார்டென்)"
en_SD,"ஆங்கிலம் (சூடான்)"
en_KN,"ஆங்கிலம் (செயின்ட் கிட்ஸ் மற்றும் நெவிஸ்)"
