id,value
fr,"lea fakafalanisē"
fr_FR,"lea fakafalanisē (Falanisē)"
fr_HT,"lea fakafalanisē (Haiti)"
fr_CM,"lea fakafalanisē (Kameluni)"
fr_CA,"lea fakafalanisē (Kānata)"
fr_GA,"lea fakafalanisē (Kaponi)"
fr_GN,"lea fakafalanisē (Kini)"
fr_KM,"lea fakafalanisē (Komolosi)"
fr_CD,"lea fakafalanisē (Kongo - Kinisasa)"
fr_CG,"lea fakafalanisē (Kongo - Palasavila)"
fr_GP,"lea fakafalanisē (Kuatalupe)"
fr_GF,"lea fakafalanisē (Kuiana fakafalanisē)"
fr_LU,"lea fakafalanisē (Lakisimipeki)"
fr_RE,"lea fakafalanisē (Lēunioni)"
fr_CF,"lea fakafalanisē (Lipapilika ʻAfilika Lotoloto)"
fr_RW,"lea fakafalanisē (Luanitā)"
fr_YT,"lea fakafalanisē (Maiote)"
fr_ML,"lea fakafalanisē (Māli)"
fr_CI,"lea fakafalanisē (Matafonua ʻAivolī)"
fr_MG,"lea fakafalanisē (Matakasika)"
fr_MQ,"lea fakafalanisē (Māteniki)"
fr_MR,"lea fakafalanisē (Maulitenia)"
fr_MU,"lea fakafalanisē (Maulitiusi)"
fr_MA,"lea fakafalanisē (Moloko)"
fr_MC,"lea fakafalanisē (Monako)"
fr_NE,"lea fakafalanisē (Nisia)"
fr_NC,"lea fakafalanisē (Niu Kaletōnia)"
fr_BF,"lea fakafalanisē (Pekano Faso)"
fr_BE,"lea fakafalanisē (Pelesiume)"
fr_BJ,"lea fakafalanisē (Penini)"
fr_PF,"lea fakafalanisē (Polinisia fakafalanisē)"
fr_BI,"lea fakafalanisē (Puluniti)"
fr_MF,"lea fakafalanisē (Sā Mātini (fakafalanisē))"
fr_BL,"lea fakafalanisē (Sā Patēlemi)"
fr_PM,"lea fakafalanisē (Sā Piea mo Mikeloni)"
fr_TD,"lea fakafalanisē (Sāti)"
fr_SN,"lea fakafalanisē (Senekalo)"
fr_SY,"lea fakafalanisē (Sīlia)"
fr_DJ,"lea fakafalanisē (Siputi)"
fr_CH,"lea fakafalanisē (Suisilani)"
fr_TG,"lea fakafalanisē (Toko)"
fr_TN,"lea fakafalanisē (Tunīsia)"
fr_VU,"lea fakafalanisē (Vanuatu)"
fr_DZ,"lea fakafalanisē (ʻAisilia)"
fr_GQ,"lea fakafalanisē (ʻEkueta Kini)"
fr_SC,"lea fakafalanisē (ʻOtumotu Seiseli)"
fr_WF,"lea fakafalanisē (ʻUvea mo Futuna)"
fo,"lea fakafaloe"
fo_FO,"lea fakafaloe (ʻOtumotu Faloe)"
fy,"lea fakafilisia-hihifo"
fy_NL,"lea fakafilisia-hihifo (Hōlani)"
fi,"lea fakafinilani"
fi_FI,"lea fakafinilani (Finilani)"
ff,"lea fakafulā"
ff_CM,"lea fakafulā (Kameluni)"
ff_GN,"lea fakafulā (Kini)"
ff_MR,"lea fakafulā (Maulitenia)"
ff_SN,"lea fakafulā (Senekalo)"
ha,"lea fakahausa"
ha_GH,"lea fakahausa (Kana)"
ha_NG,"lea fakahausa (Naisilia)"
ha_NE,"lea fakahausa (Nisia)"
ha_Latn_GH,"lea fakahausa (tohinima fakalatina, Kana)"
ha_Latn_NG,"lea fakahausa (tohinima fakalatina, Naisilia)"
ha_Latn_NE,"lea fakahausa (tohinima fakalatina, Nisia)"
ha_Latn,"lea fakahausa (tohinima fakalatina)"
he,"lea fakahepelū"
he_IL,"lea fakahepelū (ʻIsileli)"
hi,"lea fakahinitī"
hi_IN,"lea fakahinitī (ʻInitia)"
nl,"lea fakahōlani"
nl_NL,"lea fakahōlani (Hōlani)"
nl_BQ,"lea fakahōlani (Kalipiane fakahōlani)"
nl_CW,"lea fakahōlani (Kulasao)"
nl_BE,"lea fakahōlani (Pelesiume)"
nl_SX,"lea fakahōlani (Sā Mātini (fakahōlani))"
nl_SR,"lea fakahōlani (Suliname)"
nl_AW,"lea fakahōlani (ʻAlupa)"
hu,"lea fakahungakalia"
hu_HU,"lea fakahungakalia (Hungakalia)"
yi,"lea fakaītisi"
gd,"lea fakakaeliki"
gd_GB,"lea fakakaeliki (Pilitānia)"
kl,"lea fakakalaʻalisuti"
kl_GL,"lea fakakalaʻalisuti (Kulinilani)"
el,"lea fakakalisi"
el_GR,"lea fakakalisi (Kalisi)"
el_CY,"lea fakakalisi (Saipalesi)"
gl,"lea fakakalisia"
gl_ES,"lea fakakalisia (Sipeini)"
km,"lea fakakamipōtia"
km_KH,"lea fakakamipōtia (Kamipōtia)"
kn,"lea fakakanata"
kn_IN,"lea fakakanata (ʻInitia)"
lg,"lea fakakanita"
lg_UG,"lea fakakanita (ʻIukanitā)"
kk,"lea fakakasaki"
kk_KZ,"lea fakakasaki (Kasakitani)"
kk_Cyrl_KZ,"lea fakakasaki (tohinima fakalūsia, Kasakitani)"
kk_Cyrl,"lea fakakasaki (tohinima fakalūsia)"
ks,"lea fakakāsimila"
ks_Arab_IN,"lea fakakāsimila (tohinima fakaʻalepea, ʻInitia)"
ks_Arab,"lea fakakāsimila (tohinima fakaʻalepea)"
ks_IN,"lea fakakāsimila (ʻInitia)"
ca,"lea fakakatalani"
ca_FR,"lea fakakatalani (Falanisē)"
ca_ES,"lea fakakatalani (Sipeini)"
