id,value
as,ئاسسامچە
as_IN,"ئاسسامچە (ھىندىستان)"
af,ئافرىكانچە
af_ZA,"ئافرىكانچە (جەنۇبىي ئافرىقا)"
af_NA,"ئافرىكانچە (نامىبىيە)"
ak,ئاكانچە
ak_GH,"ئاكانچە (گانا)"
sq,ئالبانچە
sq_AL,"ئالبانچە (ئالبانىيە)"
sq_XK,"ئالبانچە (كوسوۋو)"
sq_MK,"ئالبانچە (ماكېدونىيە)"
am,ئامخاراچە
am_ET,"ئامخاراچە (ئېفىيوپىيە)"
ar,ئەرەبچە
ar_DZ,"ئەرەبچە (ئالجىرىيە)"
ar_AE,"ئەرەبچە (ئەرەب بىرلەشمە خەلىپىلىكى)"
ar_OM,"ئەرەبچە (ئومان)"
ar_ER,"ئەرەبچە (ئېرىترېيە)"
ar_IQ,"ئەرەبچە (ئىراق)"
ar_IL,"ئەرەبچە (ئىسرائىلىيە)"
ar_JO,"ئەرەبچە (ئىيوردانىيە)"
ar_BH,"ئەرەبچە (بەھرەين)"
ar_PS,"ئەرەبچە (پەلەستىن زېمىنى)"
ar_TN,"ئەرەبچە (تۇنىس)"
ar_SS,"ئەرەبچە (جەنۇبىي سۇدان)"
ar_DJ,"ئەرەبچە (جىبۇتى)"
ar_TD,"ئەرەبچە (چاد)"
ar_SA,"ئەرەبچە (سەئۇدى ئەرەبىستان)"
ar_SO,"ئەرەبچە (سومالى)"
ar_SD,"ئەرەبچە (سۇدان)"
ar_SY,"ئەرەبچە (سۈرىيە)"
ar_EH,"ئەرەبچە (غەربىي ساخارا)"
ar_QA,"ئەرەبچە (قاتار)"
ar_KM,"ئەرەبچە (كومورو)"
ar_KW,"ئەرەبچە (كۇۋەيت)"
ar_LB,"ئەرەبچە (لىۋان)"
ar_LY,"ئەرەبچە (لىۋىيە)"
ar_MA,"ئەرەبچە (ماراكەش)"
ar_MR,"ئەرەبچە (ماۋرىتانىيە)"
ar_EG,"ئەرەبچە (مىسىر)"
ar_YE,"ئەرەبچە (يەمەن)"
hy,ئەرمەنچە
hy_AM,"ئەرمەنچە (ئەرمېنىيە)"
az,ئەزەرىچە
az_AZ,"ئەزەرىچە (ئەزەربەيجان)"
az_Cyrl_AZ,"ئەزەرىچە (كىرىل, ئەزەربەيجان)"
az_Cyrl,"ئەزەرىچە (كىرىل)"
az_Latn_AZ,"ئەزەرىچە (لاتىنچە, ئەزەربەيجان)"
az_Latn,"ئەزەرىچە (لاتىنچە)"
ur,ئوردوچە
ur_PK,"ئوردوچە (پاكىستان)"
ur_IN,"ئوردوچە (ھىندىستان)"
om,ئوروموچە
om_ET,"ئوروموچە (ئېفىيوپىيە)"
om_KE,"ئوروموچە (كېنىيە)"
or,ئورىياچە
or_IN,"ئورىياچە (ھىندىستان)"
os,ئوسسېتچەچە
os_RU,"ئوسسېتچەچە (رۇسىيە)"
os_GE,"ئوسسېتچەچە (گىروزىيە)"
uk,ئۇكرائىنچە
uk_UA,"ئۇكرائىنچە (ئۇكرائىنا)"
ug,ئۇيغۇرچە
ug_Arab_CN,"ئۇيغۇرچە (ئەرەب, جۇڭگو)"
ug_Arab,"ئۇيغۇرچە (ئەرەب)"
ug_CN,"ئۇيغۇرچە (جۇڭگو)"
uz,ئۆزبېكچە
uz_AF,"ئۆزبېكچە (ئافغانىستان)"
uz_Arab_AF,"ئۆزبېكچە (ئەرەب, ئافغانىستان)"
uz_Arab,"ئۆزبېكچە (ئەرەب)"
uz_UZ,"ئۆزبېكچە (ئۆزبېكىستان)"
uz_Cyrl_UZ,"ئۆزبېكچە (كىرىل, ئۆزبېكىستان)"
uz_Cyrl,"ئۆزبېكچە (كىرىل)"
uz_Latn_UZ,"ئۆزبېكچە (لاتىنچە, ئۆزبېكىستان)"
uz_Latn,"ئۆزبېكچە (لاتىنچە)"
et,ئېستونچە
et_EE,"ئېستونچە (ئېستونىيە)"
ee,ئېۋېچە
ee_TG,"ئېۋېچە (توگو)"
ee_GH,"ئېۋېچە (گانا)"
he,ئىبرانىچە
he_IL,"ئىبرانىچە (ئىسرائىلىيە)"
ig,ئىبوچە
ig_NG,"ئىبوچە (نىگېرىيە)"
it,ئىتاليانچە
it_IT,"ئىتاليانچە (ئىتالىيە)"
it_SM,"ئىتاليانچە (سان-مارىنو)"
it_CH,"ئىتاليانچە (شىۋىتسارىيە)"
ga,ئىرېلاندچە
ga_IE,"ئىرېلاندچە (ئىرېلاندىيە)"
es,ئىسپانچە
es_AR,"ئىسپانچە (ئارگېنتىنا)"
es_US,"ئىسپانچە (ئامېرىكا قوشما شتاتلىرى)"
es_SV,"ئىسپانچە (ئەل سالۋادور)"
es_UY,"ئىسپانچە (ئۇرۇگۋاي)"
es_GQ,"ئىسپانچە (ئېكۋاتور گىۋىنېيەسى)"
es_EC,"ئىسپانچە (ئېكۋادور)"
es_ES,"ئىسپانچە (ئىسپانىيە)"
