id,value
ak,akancha
ak_GH,"akancha (Гана)"
bm,bambarcha
bm_Latn_ML,"bambarcha (Лотин, Мали)"
bm_Latn,"bambarcha (Лотин)"
br,bretoncha
br_FR,"bretoncha (Франция)"
ff,Fulah
ff_CM,"Fulah (Cameroon)"
ff_GN,"Fulah (Guinea)"
ff_MR,"Fulah (Mauritania)"
ff_SN,"Fulah (Senegal)"
lg,gandcha
lg_UG,"gandcha (Уганда)"
ee,ivicha
ee_GH,"ivicha (Гана)"
ee_TG,"ivicha (Того)"
kl,kalallisutcha
kl_GL,"kalallisutcha (Гренландия)"
ki,kikuycha
ki_KE,"kikuycha (Кения)"
rw,kinyarvandcha
rw_RW,"kinyarvandcha (Руанда)"
kw,kornishcha
kw_GB,"kornishcha (Бирлашган Қироллик)"
ln,lingalcha
ln_AO,"lingalcha (Ангола)"
ln_CG,"lingalcha (Конго Браззавиль)"
ln_CD,"lingalcha (Конго-Киншаса)"
ln_CF,"lingalcha (Марказий Африка Республикаси)"
lu,luba-katangcha
lu_CD,"luba-katangcha (Конго-Киншаса)"
gv,mencha
gv_IM,"mencha (Мэн ороли)"
mn,mo‘g‘ulcha
mn_Cyrl_MN,"mo‘g‘ulcha (Кирил, Муғулистон)"
mn_Cyrl,"mo‘g‘ulcha (Кирил)"
mn_MN,"mo‘g‘ulcha (Муғулистон)"
no,Norwegian
no_NO,"Norwegian (Norway)"
om,oromocha
om_KE,"oromocha (Кения)"
om_ET,"oromocha (Эфиопия)"
os,Ossetic
os_GE,"Ossetic (Georgia)"
os_RU,"Ossetic (Russia)"
rn,rundcha
rn_BI,"rundcha (Бурунди)"
sg,sangoancha
sg_CF,"sangoancha (Марказий Африка Республикаси)"
gd,"Scottish Gaelic"
gd_GB,"Scottish Gaelic (United Kingdom)"
sh,Serbo-Croatian
sh_BA,"Serbo-Croatian (Bosnia & Herzegovina)"
nd,"shimoliy ndebelcha"
nd_ZW,"shimoliy ndebelcha (Зимбабве)"
se,"shimoliy semiycha"
se_NO,"shimoliy semiycha (Норвегия)"
se_FI,"shimoliy semiycha (Финляндия)"
se_SE,"shimoliy semiycha (Швеция)"
sn,shoniycha
sn_ZW,"shoniycha (Зимбабве)"
tl,Tagalog
tl_PH,"Tagalog (Philippines)"
yi,Yiddish
dz,yovoncha
dz_BT,"yovoncha (Бутан)"
ii,"zichuan yicha"
ii_CN,"zichuan yicha (Хитой)"
sq,Албанча
sq_AL,"Албанча (Албания)"
sq_XK,"Албанча (Косово)"
sq_MK,"Албанча (Македония)"
am,Амхарча
am_ET,"Амхарча (Эфиопия)"
ar,Арабча
ar_BH,"Арабча (Баҳрайн)"
ar_AE,"Арабча (Бирлашган Араб Амирликлари)"
ar_EH,"Арабча (Ғарбий Саҳрои Кабир)"
ar_DJ,"Арабча (Джибути)"
ar_DZ,"Арабча (Жазоир)"
ar_SS,"Арабча (Жанубий Судан)"
ar_JO,"Арабча (Иордания)"
ar_IQ,"Арабча (Ироқ)"
ar_IL,"Арабча (Исроил)"
ar_KM,"Арабча (Комор ороллари)"
ar_KW,"Арабча (Кувайт)"
ar_QA,"Арабча (Қатар)"
ar_LB,"Арабча (Ливан)"
ar_LY,"Арабча (Ливия)"
ar_MR,"Арабча (Мавритания)"
ar_MA,"Арабча (Марокаш)"
ar_EG,"Арабча (Миср)"
ar_SA,"Арабча (Саудия Арабистони)"
ar_SO,"Арабча (Сомали)"
ar_SD,"Арабча (Судан)"
ar_SY,"Арабча (Сурия)"
ar_TN,"Арабча (Тунис)"
ar_OM,"Арабча (Уммон)"
ar_PS,"Арабча (Фаластин ҳудуди)"
ar_TD,"Арабча (Чад)"
ar_ER,"Арабча (Эритрея)"
ar_YE,"Арабча (Яман)"
hy,Арманча
hy_AM,"Арманча (Арманистон)"
as,Ассамча
as_IN,"Ассамча (Ҳиндистон)"
af,Африканча
af_ZA,"Африканча (Жанубий Африка)"
af_NA,"Африканча (Намибия)"
eu,Баскча
eu_ES,"Баскча (Испания)"
be,Беларусча
be_BY,"Беларусча (Белорусия)"
bn,Бенгалча
bn_BD,"Бенгалча (Бангладеш)"
bn_IN,"Бенгалча (Ҳиндистон)"
my,Бирманча
my_MM,"Бирманча (Мьянма (Бирма))"
bg,Болгарча
bg_BG,"Болгарча (Болгария)"
bs,Боснияча
bs_BA,"Боснияча (Босния ва Герцеговина)"
bs_Cyrl_BA,"Боснияча (Кирил, Босния ва Герцеговина)"
bs_Cyrl,"Боснияча (Кирил)"
bs_Latn_BA,"Боснияча (Лотин, Босния ва Герцеговина)"
bs_Latn,"Боснияча (Лотин)"
hu,Венгрча
hu_HU,"Венгрча (Венгрия)"
vi,Вьетнамча
vi_VN,"Вьетнамча (Вьетнам)"
gl,Галицийча
gl_ES,"Галицийча (Испания)"
nl,Голландча
nl_AW,"Голландча (Аруба)"
nl_BE,"Голландча (Бельгия)"
nl_BQ,"Голландча (Кариб Нидерландияси)"
nl_CW,"Голландча (Курасао)"
nl_NL,"Голландча (Нидерландия)"
nl_SX,"Голландча (Синт-Маартен)"
nl_SR,"Голландча (Суринам)"
el,Грекча
el_GR,"Грекча (Греция)"
el_CY,"Грекча (Кипр)"
ka,Грузинча
ka_GE,"Грузинча (Грузия)"
gu,Гужарати
gu_IN,"Гужарати (Ҳиндистон)"
fy,"Ғарбий фризианча"
fy_NL,"Ғарбий фризианча (Нидерландия)"
da,Данияча
da_GL,"Данияча (Гренландия)"
da_DK,"Данияча (Дания)"
zu,Зулу
zu_ZA,"Зулу (Жанубий Африка)"
he,Иброний
he_IL,"Иброний (Исроил)"
ig,Игбо
ig_NG,"Игбо (Нигерия)"
en,Инглизча
en_AU,"Инглизча (Австралия)"
en_VI,"Инглизча (АҚШ Вирджиния ороллари)"
en_UM,"Инглизча (АҚШ ёндош ороллари)"
en_AS,"Инглизча (Америка Самоаси)"
en_AI,"Инглизча (Ангила)"
en_AG,"Инглизча (Антигуа ва Барбадос)"
en_BS,"Инглизча (Багама ороллари)"
en_BB,"Инглизча (Барбадос)"
en_BZ,"Инглизча (Белиз)"
en_BE,"Инглизча (Бельгия)"
